city,year,outcome
4,2020,15.739955565461768
4,2021,15.824699666143246
4,2022,15.527610074489647
4,2023,15.894926465803108
4,2024,16.224238134267384
4,2025,16.165321703978545
5,2001,22.177208553279744
5,2002,21.58115444869633
5,2003,18.880182833851823
5,2004,18.53938611674133
5,2005,21.77263752865936
5,2006,20.141902747790258
5,2007,19.400890944109214
5,2008,16.70880676643112
5,2009,20.56568023254797
5,2010,17.27873169018719
5,2011,20.52055835493816
5,2012,19.311300571358384
5,2013,19.700320302606976
5,2014,18.02936704792171
5,2015,17.80993224081211
5,2016,16.540923848784157
5,2017,19.283124276928792
5,2018,16.811510033263282
5,2019,14.8359448093256
5,2020,19.534394368153272
5,2021,19.56238754935558
5,2022,15.45209061748741
5,2023,18.93686849582905
5,2024,15.467144817004431
5,2025,17.301117552834853
6,2001,22.04666578828587
6,2002,21.266836125032356
6,2003,18.91319860909112
6,2004,18.68042456600879
6,2005,21.293286886620223
6,2006,19.949783941860808
6,2007,19.364352278743645
6,2008,16.82830139450325
6,2009,20.073975647357805
6,2010,17.490188816006686
6,2011,20.054036332357487
6,2012,19.163372454639514
6,2013,19.247681569144827
6,2014,18.17322073198904
6,2015,17.669921530488715
6,2016,16.66899544542665
6,2017,18.853274419716357
6,2018,16.889795668799273
6,2019,15.092925946302731
6,2020,18.80441658268505
6,2021,18.86007966954436
6,2022,15.779709553262915
6,2023,18.0777557285769
6,2024,15.523224799961048
6,2025,17.109003388544892
7,2001,20.161494719843816
7,2002,19.268956569845276
7,2003,19.352238226654812
7,2004,19.88797193519421
7,2005,18.244947965545524
7,2006,19.5169885015301
7,2007,18.80431757851401
7,2008,18.972709400185245
7,2009,18.15964050940083
7,2010,18.513365677716585
7,2011,17.797493442658684
7,2012,18.761625540385005
7,2013,17.409947432469874
7,2014,18.66617278285831
7,2015,17.36246338856655
7,2016,18.17627459820036
7,2017,17.282090784451093
7,2018,17.97718967786298
7,2019,17.73006013633855
7,2020,17.147760818008734
7,2021,16.67764246292122
7,2022,17.712091838976477
7,2023,16.414637940053165
7,2024,16.665279410479425
7,2025,15.836963777457706
8,2001,22.067046798272226
8,2002,18.92210283799224
8,2003,18.980801383508577
8,2004,21.20961507666231
8,2005,18.043898995893198
8,2006,21.56701766433375
8,2007,19.279966114643873
8,2008,18.710236893355795
8,2009,20.026313460096766
8,2010,19.309338355264345
8,2011,19.375768001719113
8,2012,23.40950304978563
8,2013,19.974277608866995
8,2014,22.485844706552136
8,2015,18.808213391141777
8,2016,22.08165104637617
8,2017,21.23884578909216
8,2018,22.746631256582607
8,2019,20.995847734184718
8,2020,23.010687436142703
8,2021,21.883451375582712
8,2022,23.039593350552245
8,2023,21.227053730404254
8,2024,21.09247271575345
8,2025,20.961873038237137
9,2001,18.91506605706543
9,2002,19.961492973090554
9,2003,20.95916968144446
9,2004,20.62002658461415
9,2005,20.832825120499358
9,2006,20.451278451186393
9,2007,21.432186973334915
9,2008,22.420033352111652
9,2009,21.29684429876487
9,2010,22.558789230959338
9,2011,21.81146600791064
9,2012,21.346073862612073
9,2013,22.26454161647106
9,2014,22.442752380931836
9,2015,23.485688998254492
9,2016,23.31292283782035
9,2017,22.79794055439074
9,2018,23.190784972133464
9,2019,24.464282163986464
9,2020,23.00795079476587
9,2021,23.147389914320765
9,2022,24.361031580720766
9,2023,24.099395644392505
9,2024,25.365327281878038
9,2025,24.67622013460872
10,2001,22.028757005415336
10,2002,21.144849089272107
10,2003,19.993270582485486
10,2004,21.075141148514703
10,2005,22.43916885527528
10,2006,23.018773979487936
10,2007,22.51137849040188
10,2008,21.311722603186077
10,2009,24.57600949094263
10,2010,22.642468311953024
10,2011,24.947431868495123
10,2012,26.042246366328946
10,2013,25.921622512496416
10,2014,26.09049886881529
10,2015,25.57956555546452
10,2016,26.21783367390775
10,2017,28.070470192208575
10,2018,27.382264549996357
10,2019,26.386411752407408
10,2020,30.143230104473627
10,2021,30.26065949572057
10,2022,28.70911346518248
10,2023,30.736491680726626
10,2024,29.261954014800164
10,2025,30.843968553721947
