"unit","period","treated","unit_fe","post","common_trend","tau","y"
1,-2,0,-0.883274482760055,0,-0.7,0,3.67205455371469
2,-2,0,-0.850756664569119,0,-0.7,0,3.69093292463098
3,-2,0,-0.273454113121174,0,-0.7,0,4.18171284932345
4,-2,0,-0.150188636143669,0,-0.7,0,4.37117853137408
5,-2,0,-0.0157663379503701,0,-0.7,0,4.89117808786458
6,-2,0,-0.122460250963236,0,-0.7,0,4.67368287447862
7,-2,0,-0.500952547659317,0,-0.7,0,3.75786079381087
8,-2,0,-1.57193907963052,0,-0.7,0,3.14646096207683
9,-2,0,1.12869147232923,0,-0.7,0,6.03303486258962
10,-2,0,-0.139908243723942,0,-0.7,0,4.35919346722963
11,-2,0,0.803439105329328,0,-0.7,0,4.99375734634991
12,-2,0,-0.196360623110461,0,-0.7,0,4.80520667270571
13,-2,0,1.75191247589372,0,-0.7,0,6.13755515491123
14,-2,0,-0.736825076470712,0,-0.7,0,3.42574836251517
15,-2,0,-0.87151709269739,0,-0.7,0,3.64130408937325
16,-2,0,1.12874019186149,0,-0.7,0,5.36537261059861
17,-2,0,-0.53487688016045,0,-0.7,0,3.24197889381188
18,-2,0,0.536686542275695,0,-0.7,0,4.08346867992765
19,-2,0,0.139411426571685,0,-0.7,0,4.46326221455287
20,-2,0,0.745740965107157,0,-0.7,0,5.67488723696816
21,-2,1,-0.982291742352728,0,-0.7,0,2.58913079181397
22,-2,1,-0.248351309794533,0,-0.7,0,4.20786628753132
23,-2,1,-0.0952771214549698,0,-0.7,0,4.25880618216918
24,-2,1,0.150115561024189,0,-0.7,0,4.4364352966123
25,-2,1,0.110556093972052,0,-0.7,0,4.81819246022102
26,-2,1,-0.813204600390838,0,-0.7,0,3.8023616342118
27,-2,1,-0.389133655404756,0,-0.7,0,3.89869867219279
28,-2,1,0.868142991582369,0,-0.7,0,5.8210810196948
29,-2,1,-0.400024128172809,0,-0.7,0,3.41573250675644
30,-2,1,-0.387015385457301,0,-0.7,0,3.10485852575713
31,-2,1,0.10709542852295,0,-0.7,0,4.57592412514386
32,-2,1,-0.59760284543501,0,-0.7,0,3.79724885076703
33,-2,1,0.765673144076656,0,-0.7,0,5.18251156569792
34,-2,1,-0.560820407293807,0,-0.7,0,3.80583440077432
35,-2,1,0.499091631051715,0,-0.7,0,5.0928897074634
36,-2,1,-0.516106674988293,0,-0.7,0,4.48937509276024
37,-2,1,-0.019465588732605,0,-0.7,0,4.85289733126217
38,-2,1,0.383011566955416,0,-0.7,0,5.39239478688971
39,-2,1,0.0253614626457055,0,-0.7,0,4.14859014707326
40,-2,1,-0.3522236761108,0,-0.7,0,3.71326366268368
1,-1,0,-0.883274482760055,0,-0.35,0,3.20022922793839
2,-1,0,-0.850756664569119,0,-0.35,0,4.05819860152514
3,-1,0,-0.273454113121174,0,-0.35,0,4.56572966368558
4,-1,0,-0.150188636143669,0,-0.35,0,5.0450164985401
5,-1,0,-0.0157663379503701,0,-0.35,0,3.59883579408527
6,-1,0,-0.122460250963236,0,-0.35,0,4.49362881669237
7,-1,0,-0.500952547659317,0,-0.35,0,3.73554374490336
8,-1,0,-1.57193907963052,0,-0.35,0,3.12339506531716
9,-1,0,1.12869147232923,0,-0.35,0,4.94584330424166
10,-1,0,-0.139908243723942,0,-0.35,0,4.19249166777734
11,-1,0,0.803439105329328,0,-0.35,0,5.42395404048975
12,-1,0,-0.196360623110461,0,-0.35,0,4.69266073914826
13,-1,0,1.75191247589372,0,-0.35,0,6.62911753899437
14,-1,0,-0.736825076470712,0,-0.35,0,3.6518033727827
15,-1,0,-0.87151709269739,0,-0.35,0,4.18750584968653
16,-1,0,1.12874019186149,0,-0.35,0,5.70935722914728
17,-1,0,-0.53487688016045,0,-0.35,0,3.07556375698039
18,-1,0,0.536686542275695,0,-0.35,0,5.78145803775884
19,-1,0,0.139411426571685,0,-0.35,0,4.99905644291604
20,-1,0,0.745740965107157,0,-0.35,0,6.37809237628217
21,-1,1,-0.982291742352728,0,-0.35,0,3.1211055088626
22,-1,1,-0.248351309794533,0,-0.35,0,3.88894846615944
23,-1,1,-0.0952771214549698,0,-0.35,0,4.92039205287002
24,-1,1,0.150115561024189,0,-0.35,0,4.92163891426083
25,-1,1,0.110556093972052,0,-0.35,0,4.6644623174621
26,-1,1,-0.813204600390838,0,-0.35,0,3.21064063020641
27,-1,1,-0.389133655404756,0,-0.35,0,3.37368711171863
28,-1,1,0.868142991582369,0,-0.35,0,5.11575127966292
29,-1,1,-0.400024128172809,0,-0.35,0,4.90460533260767
30,-1,1,-0.387015385457301,0,-0.35,0,4.87038313441058
31,-1,1,0.10709542852295,0,-0.35,0,5.15430136619516
32,-1,1,-0.59760284543501,0,-0.35,0,4.01928800888024
33,-1,1,0.765673144076656,0,-0.35,0,6.33683739043006
34,-1,1,-0.560820407293807,0,-0.35,0,4.24204175421527
35,-1,1,0.499091631051715,0,-0.35,0,5.37416840507416
36,-1,1,-0.516106674988293,0,-0.35,0,3.52059934047923
37,-1,1,-0.019465588732605,0,-0.35,0,4.84261597030383
38,-1,1,0.383011566955416,0,-0.35,0,5.1202598498522
39,-1,1,0.0253614626457055,0,-0.35,0,4.657698291378
40,-1,1,-0.3522236761108,0,-0.35,0,4.99123029363399
1,0,0,-0.883274482760055,1,0,0,3.57940216957718
2,0,0,-0.850756664569119,1,0,0,3.97664279026972
3,0,0,-0.273454113121174,1,0,0,4.4942008036377
4,0,0,-0.150188636143669,1,0,0,5.28082161764733
5,0,0,-0.0157663379503701,1,0,0,5.28755083909908
6,0,0,-0.122460250963236,1,0,0,4.43710650259568
7,0,0,-0.500952547659317,1,0,0,4.39926174698251
8,0,0,-1.57193907963052,1,0,0,3.08509716538441
9,0,0,1.12869147232923,1,0,0,5.6860472798912
10,0,0,-0.139908243723942,1,0,0,5.00531508725914
11,0,0,0.803439105329328,1,0,0,6.12464181137598
12,0,0,-0.196360623110461,1,0,0,5.49365561630484
13,0,0,1.75191247589372,1,0,0,6.09722493998584
14,0,0,-0.736825076470712,1,0,0,4.33475274408023
15,0,0,-0.87151709269739,1,0,0,4.67034267734888
16,0,0,1.12874019186149,1,0,0,6.23755130694807
17,0,0,-0.53487688016045,1,0,0,3.98145738348949
18,0,0,0.536686542275695,1,0,0,5.1285344979072
19,0,0,0.139411426571685,1,0,0,5.53782185043648
20,0,0,0.745740965107157,1,0,0,5.90134204796421
21,0,1,-0.982291742352728,1,0,1.8,6.29099021562691
22,0,1,-0.248351309794533,1,0,1.8,6.53800308231356
23,0,1,-0.0952771214549698,1,0,1.8,7.06285989249984
24,0,1,0.150115561024189,1,0,1.8,6.6495271060503
25,0,1,0.110556093972052,1,0,1.8,6.76227094331136
26,0,1,-0.813204600390838,1,0,1.8,6.01055558819767
27,0,1,-0.389133655404756,1,0,1.8,6.67121667961381
28,0,1,0.868142991582369,1,0,1.8,7.53027005573685
29,0,1,-0.400024128172809,1,0,1.8,5.98851312821657
30,0,1,-0.387015385457301,1,0,1.8,6.41755439473531
31,0,1,0.10709542852295,1,0,1.8,6.8138713224597
32,0,1,-0.59760284543501,1,0,1.8,5.51982700588389
33,0,1,0.765673144076656,1,0,1.8,7.49378301063774
34,0,1,-0.560820407293807,1,0,1.8,6.61254968879784
35,0,1,0.499091631051715,1,0,1.8,7.45606880840354
36,0,1,-0.516106674988293,1,0,1.8,5.72614203986219
37,0,1,-0.019465588732605,1,0,1.8,6.68032513128779
38,0,1,0.383011566955416,1,0,1.8,8.19201528344633
39,0,1,0.0253614626457055,1,0,1.8,6.98426994158013
40,0,1,-0.3522236761108,1,0,1.8,6.36172245363636
1,1,0,-0.883274482760055,1,0.35,0,4.52780628121074
2,1,0,-0.850756664569119,1,0.35,0,4.46454399393412
3,1,0,-0.273454113121174,1,0.35,0,4.70114221692248
4,1,0,-0.150188636143669,1,0.35,0,5.46581307546613
5,1,0,-0.0157663379503701,1,0.35,0,5.20943188182379
6,1,0,-0.122460250963236,1,0.35,0,5.87327898042155
7,1,0,-0.500952547659317,1,0.35,0,5.29419636375269
8,1,0,-1.57193907963052,1,0.35,0,3.71984086699541
9,1,0,1.12869147232923,1,0.35,0,5.97921620663022
10,1,0,-0.139908243723942,1,0.35,0,5.92064697321827
11,1,0,0.803439105329328,1,0.35,0,5.50717860489597
12,1,0,-0.196360623110461,1,0.35,0,4.58154876549597
13,1,0,1.75191247589372,1,0.35,0,6.80599172002421
14,1,0,-0.736825076470712,1,0.35,0,3.39022029848232
15,1,0,-0.87151709269739,1,0.35,0,3.17501433431257
16,1,0,1.12874019186149,1,0.35,0,6.94985106576809
17,1,0,-0.53487688016045,1,0.35,0,5.19309278867762
18,1,0,0.536686542275695,1,0.35,0,6.65520777517589
19,1,0,0.139411426571685,1,0.35,0,5.29031838205607
20,1,0,0.745740965107157,1,0.35,0,6.63932553069692
21,1,1,-0.982291742352728,1,0.35,1.8,7.33082579273038
22,1,1,-0.248351309794533,1,0.35,1.8,7.31568671071374
23,1,1,-0.0952771214549698,1,0.35,1.8,7.37761086525788
24,1,1,0.150115561024189,1,0.35,1.8,7.46320418785902
25,1,1,0.110556093972052,1,0.35,1.8,7.43141997398024
26,1,1,-0.813204600390838,1,0.35,1.8,6.0622937226173
27,1,1,-0.389133655404756,1,0.35,1.8,6.15762001918235
28,1,1,0.868142991582369,1,0.35,1.8,9.17327653965151
29,1,1,-0.400024128172809,1,0.35,1.8,6.76943223497898
30,1,1,-0.387015385457301,1,0.35,1.8,7.01076458172327
31,1,1,0.10709542852295,1,0.35,1.8,7.55936767688099
32,1,1,-0.59760284543501,1,0.35,1.8,6.86694859933187
33,1,1,0.765673144076656,1,0.35,1.8,8.6494799266318
34,1,1,-0.560820407293807,1,0.35,1.8,6.29677292982853
35,1,1,0.499091631051715,1,0.35,1.8,7.7222604337873
36,1,1,-0.516106674988293,1,0.35,1.8,6.43052110879372
37,1,1,-0.019465588732605,1,0.35,1.8,6.55429847151836
38,1,1,0.383011566955416,1,0.35,1.8,7.51129092185022
39,1,1,0.0253614626457055,1,0.35,1.8,6.75661341203665
40,1,1,-0.3522236761108,1,0.35,1.8,6.79672837995632
1,2,0,-0.883274482760055,1,0.7,0,4.88428085712342
2,2,0,-0.850756664569119,1,0.7,0,4.43131315602807
3,2,0,-0.273454113121174,1,0.7,0,5.24404600437086
4,2,0,-0.150188636143669,1,0.7,0,4.93634421833578
5,2,0,-0.0157663379503701,1,0.7,0,5.55571534487147
6,2,0,-0.122460250963236,1,0.7,0,5.8858072733888
7,2,0,-0.500952547659317,1,0.7,0,5.66489044448895
8,2,0,-1.57193907963052,1,0.7,0,3.5310381916973
9,2,0,1.12869147232923,1,0.7,0,5.94291741484638
10,2,0,-0.139908243723942,1,0.7,0,6.02594697981255
11,2,0,0.803439105329328,1,0.7,0,5.09813569321565
12,2,0,-0.196360623110461,1,0.7,0,5.59621831709204
13,2,0,1.75191247589372,1,0.7,0,8.45476501306616
14,2,0,-0.736825076470712,1,0.7,0,4.4911423222851
15,2,0,-0.87151709269739,1,0.7,0,5.95235332324126
16,2,0,1.12874019186149,1,0.7,0,6.87941690760502
17,2,0,-0.53487688016045,1,0.7,0,5.11930244969578
18,2,0,0.536686542275695,1,0.7,0,6.67103004228191
19,2,0,0.139411426571685,1,0.7,0,5.68041361112765
20,2,0,0.745740965107157,1,0.7,0,6.96823266011866
21,2,1,-0.982291742352728,1,0.7,1.8,6.93411364871666
22,2,1,-0.248351309794533,1,0.7,1.8,7.99572607851332
23,2,1,-0.0952771214549698,1,0.7,1.8,6.47897127100271
24,2,1,0.150115561024189,1,0.7,1.8,7.87155781991584
25,2,1,0.110556093972052,1,0.7,1.8,7.61885284106205
26,2,1,-0.813204600390838,1,0.7,1.8,6.5634636159069
27,2,1,-0.389133655404756,1,0.7,1.8,6.93687213612771
28,2,1,0.868142991582369,1,0.7,1.8,8.71180750886853
29,2,1,-0.400024128172809,1,0.7,1.8,7.12020975733051
30,2,1,-0.387015385457301,1,0.7,1.8,5.68955818409792
31,2,1,0.10709542852295,1,0.7,1.8,7.76116620845048
32,2,1,-0.59760284543501,1,0.7,1.8,6.92902292377433
33,2,1,0.765673144076656,1,0.7,1.8,9.08960859671899
34,2,1,-0.560820407293807,1,0.7,1.8,6.12231797846288
35,2,1,0.499091631051715,1,0.7,1.8,8.44154258113332
36,2,1,-0.516106674988293,1,0.7,1.8,6.50529645868256
37,2,1,-0.019465588732605,1,0.7,1.8,7.80115713884748
38,2,1,0.383011566955416,1,0.7,1.8,8.27840686937606
39,2,1,0.0253614626457055,1,0.7,1.8,7.33317326767223
40,2,1,-0.3522236761108,1,0.7,1.8,7.1336661838593
1,3,0,-0.883274482760055,1,1.05,0,4.88143823328024
2,3,0,-0.850756664569119,1,1.05,0,5.65185297327682
3,3,0,-0.273454113121174,1,1.05,0,6.27478991249598
4,3,0,-0.150188636143669,1,1.05,0,5.79267687710424
5,3,0,-0.0157663379503701,1,1.05,0,6.39869066476742
6,3,0,-0.122460250963236,1,1.05,0,6.12860059289937
7,3,0,-0.500952547659317,1,1.05,0,7.28045230996145
8,3,0,-1.57193907963052,1,1.05,0,4.53418798419214
9,3,0,1.12869147232923,1,1.05,0,7.35371830636313
10,3,0,-0.139908243723942,1,1.05,0,5.7212411375846
11,3,0,0.803439105329328,1,1.05,0,6.81322741250695
12,3,0,-0.196360623110461,1,1.05,0,4.93705658655212
13,3,0,1.75191247589372,1,1.05,0,7.39212181531817
14,3,0,-0.736825076470712,1,1.05,0,5.14824318460546
15,3,0,-0.87151709269739,1,1.05,0,5.73577857395383
16,3,0,1.12874019186149,1,1.05,0,7.06049145924007
17,3,0,-0.53487688016045,1,1.05,0,5.83157147056206
18,3,0,0.536686542275695,1,1.05,0,6.77505765802612
19,3,0,0.139411426571685,1,1.05,0,6.06331090596047
20,3,0,0.745740965107157,1,1.05,0,7.27370831165919
21,3,1,-0.982291742352728,1,1.05,1.8,6.4737323628748
22,3,1,-0.248351309794533,1,1.05,1.8,8.11734673542727
23,3,1,-0.0952771214549698,1,1.05,1.8,7.48899338091481
24,3,1,0.150115561024189,1,1.05,1.8,8.88758880399456
25,3,1,0.110556093972052,1,1.05,1.8,8.18599596142441
26,3,1,-0.813204600390838,1,1.05,1.8,7.48715709732432
27,3,1,-0.389133655404756,1,1.05,1.8,7.3094022095425
28,3,1,0.868142991582369,1,1.05,1.8,8.57599439038727
29,3,1,-0.400024128172809,1,1.05,1.8,7.21183433915972
30,3,1,-0.387015385457301,1,1.05,1.8,7.94542792712939
31,3,1,0.10709542852295,1,1.05,1.8,8.50200686419946
32,3,1,-0.59760284543501,1,1.05,1.8,7.54576174298942
33,3,1,0.765673144076656,1,1.05,1.8,8.33086747634963
34,3,1,-0.560820407293807,1,1.05,1.8,7.32088126144935
35,3,1,0.499091631051715,1,1.05,1.8,8.61300757900575
36,3,1,-0.516106674988293,1,1.05,1.8,7.52559813483545
37,3,1,-0.019465588732605,1,1.05,1.8,7.76512194805232
38,3,1,0.383011566955416,1,1.05,1.8,7.95308764108507
39,3,1,0.0253614626457055,1,1.05,1.8,7.16289738765886
40,3,1,-0.3522236761108,1,1.05,1.8,7.41666107260214
