"city","date","year","month","new_house_mom","new_house_yoy","second_hand_mom","second_hand_yoy","first_tier_city"
"桂林","2025-01",2025,1,99.8,96.2,99.5,94.3,0
"武汉","2025-01",2025,1,100.5,93.1,99.5,90.1,0
"沈阳","2025-01",2025,1,99.8,96.3,99.6,92.8,0
"泉州","2025-01",2025,1,100.1,92,99.8,88.9,0
"泸州","2025-01",2025,1,99.5,92.2,99.7,92,0
"洛阳","2025-01",2025,1,99.7,93.9,99.6,92.6,0
"济南","2025-01",2025,1,99.8,93.7,99.9,90.1,0
"济宁","2025-01",2025,1,99.8,94.7,99.5,94.2,0
"海口","2025-01",2025,1,100.4,95.8,99.7,92.9,0
"深圳","2025-01",2025,1,100.2,94.8,100.4,93.9,1
"温州","2025-01",2025,1,99.9,90,99.8,88.9,0
"湛江","2025-01",2025,1,99.9,93.3,99.5,92.2,0
"烟台","2025-01",2025,1,99.6,94.1,99.5,91,0
"牡丹江","2025-01",2025,1,99.6,92.9,99.4,91.9,0
"石家庄","2025-01",2025,1,99.9,96.5,99.7,92.6,0
"福州","2025-01",2025,1,100.2,92.3,99.5,90.6,0
"秦皇岛","2025-01",2025,1,99.7,92.7,99.5,88.9,0
"蚌埠","2025-01",2025,1,99.8,93.5,99.7,92.7,0
"襄阳","2025-01",2025,1,99.8,93.3,99.2,89.9,0
"西宁","2025-01",2025,1,99.7,94.5,99.6,92.6,0
"西安","2025-01",2025,1,99.6,99,99.7,93,0
"贵阳","2025-01",2025,1,99.8,95.1,99.7,94.5,0
"赣州","2025-01",2025,1,100.2,94.7,99.8,94.6,0
"遵义","2025-01",2025,1,100.1,96.6,99.7,94.4,0
"郑州","2025-01",2025,1,100.3,94.6,99.3,92.2,0
"重庆","2025-01",2025,1,100.4,94.8,99.6,94.4,0
"金华","2025-01",2025,1,100,89.7,99.9,88.2,0
"银川","2025-01",2025,1,99.8,95.6,99.7,94.3,0
"锦州","2025-01",2025,1,99.5,95.4,99.2,91.4,0
"长春","2025-01",2025,1,99.8,95.8,99.5,93.3,0
"长沙","2025-01",2025,1,100,93.5,99.7,91.5,0
"青岛","2025-01",2025,1,100.1,94.8,100,92.2,0
"韶关","2025-01",2025,1,99.7,94.2,99.8,93,0
"三亚","2025-02",2025,2,99.9,96.8,99.8,93.1,0
"上海","2025-02",2025,2,100.2,105.6,99.6,97.9,1
"丹东","2025-02",2025,2,99.6,93.8,100,89.6,0
"乌鲁木齐","2025-02",2025,2,99.9,96.8,99.7,94.2,0
"九江","2025-02",2025,2,100,93,99.8,91.1,0
"兰州","2025-02",2025,2,99.8,92.7,99.9,91,0
"包头","2025-02",2025,2,99.6,93.6,99.8,89.4,0
"北京","2025-02",2025,2,100.1,94.5,100,97.1,1
"北海","2025-02",2025,2,99.7,94.1,99.4,94.6,0
"南京","2025-02",2025,2,100.5,96.6,99.7,94.9,0
"南充","2025-02",2025,2,99.8,97.1,99.7,93.2,0
"南宁","2025-02",2025,2,100.1,93.8,99.6,91.1,0
"南昌","2025-02",2025,2,100.3,95,99.7,89.5,0
"厦门","2025-02",2025,2,100.2,92.9,99.7,90,0
"合肥","2025-02",2025,2,100.2,94.7,99.7,91.8,0
"吉林","2025-02",2025,2,99.6,94.3,99.8,94.2,0
"呼和浩特","2025-02",2025,2,99.4,93.9,99.6,88.8,0
"哈尔滨","2025-02",2025,2,100.3,94.6,99.6,91.9,0
"唐山","2025-02",2025,2,99.5,92.3,99.4,88.6,0
"大理","2025-02",2025,2,99.8,93.7,99.7,92.7,0
"大连","2025-02",2025,2,100.3,95,99.3,90.7,0
"天津","2025-02",2025,2,99.7,97.2,99.6,94.5,0
"太原","2025-02",2025,2,100.1,101.2,99.4,95.6,0
"宁波","2025-02",2025,2,100.3,93.4,99.6,92,0
"安庆","2025-02",2025,2,99.8,94,99.4,91.1,0
"宜昌","2025-02",2025,2,100.1,95.5,99.6,92.8,0
"岳阳","2025-02",2025,2,99.6,93.6,99.9,94.1,0
"常德","2025-02",2025,2,100.1,92.7,99.7,91.1,0
"平顶山","2025-02",2025,2,100,98.9,99.7,95,0
"广州","2025-02",2025,2,99.8,92.2,99.7,90.6,1
"徐州","2025-02",2025,2,99.6,93.9,99.2,92.6,0
"惠州","2025-02",2025,2,99.8,93.7,99.5,89.8,0
"成都","2025-02",2025,2,100.3,97,100.2,96.2,0
"扬州","2025-02",2025,2,99.9,93.6,99.1,90.9,0
"无锡","2025-02",2025,2,99.2,95.4,99.9,92.7,0
"昆明","2025-02",2025,2,99.9,91.7,99.5,92.3,0
"杭州","2025-02",2025,2,99.9,98.7,99.8,95.9,0
"桂林","2025-02",2025,2,99.7,96.4,99.5,94.2,0
"武汉","2025-02",2025,2,99.7,93.3,99.4,91,0
"沈阳","2025-02",2025,2,100.2,97.2,99.7,93.4,0
"泉州","2025-02",2025,2,100.2,92.1,99.9,89.1,0
"泸州","2025-02",2025,2,99.6,92.7,99.5,91.8,0
"洛阳","2025-02",2025,2,99.9,94.2,99.7,93.2,0
"济南","2025-02",2025,2,100.3,94.3,99.8,90.6,0
"济宁","2025-02",2025,2,99.7,95,99.8,94.4,0
"海口","2025-02",2025,2,100,96.3,100.2,93.6,0
"深圳","2025-02",2025,2,100.4,95.6,100.3,94.7,1
"温州","2025-02",2025,2,100,90.6,99.8,89.6,0
"湛江","2025-02",2025,2,99.5,93.9,99.6,92.5,0
"烟台","2025-02",2025,2,99.4,93.9,99.2,90.5,0
"牡丹江","2025-02",2025,2,99.8,92.8,99.6,92.1,0
"石家庄","2025-02",2025,2,99.7,96,99.8,93,0
"福州","2025-02",2025,2,99.9,92.9,99.4,90.9,0
"秦皇岛","2025-02",2025,2,99.8,92.9,99.6,89.6,0
"蚌埠","2025-02",2025,2,99.7,93.9,99.8,93.4,0
"襄阳","2025-02",2025,2,99.9,94,99.4,89.9,0
"西宁","2025-02",2025,2,99.9,94.6,99.5,92.6,0
"西安","2025-02",2025,2,99.5,98.3,99.6,93,0
"贵阳","2025-02",2025,2,100,95.4,99.8,94.9,0
"赣州","2025-02",2025,2,100,94.9,99.9,95.1,0
"遵义","2025-02",2025,2,99.6,96.6,99.5,94.3,0
"郑州","2025-02",2025,2,99.6,94.6,99.4,92.4,0
"重庆","2025-02",2025,2,99.8,94.6,99.9,94.5,0
"金华","2025-02",2025,2,99.9,90.4,99.7,88.8,0
"银川","2025-02",2025,2,99.4,95.6,99.3,94.4,0
"锦州","2025-02",2025,2,99.7,95.2,99.5,91.5,0
"长春","2025-02",2025,2,99.5,95.8,99.3,93.4,0
"长沙","2025-02",2025,2,99.8,93.5,99.6,91.6,0
"青岛","2025-02",2025,2,100,95.2,99.9,92.7,0
"韶关","2025-02",2025,2,99.4,94.2,99.7,93.5,0
"三亚","2025-03",2025,3,99.8,96.8,99.7,93.2,0
"上海","2025-03",2025,3,100.7,105.7,100.4,98.6,1
"丹东","2025-03",2025,3,99.3,93.5,99.6,90.1,0
"乌鲁木齐","2025-03",2025,3,100.1,97.2,99.8,94.5,0
"九江","2025-03",2025,3,99.7,93.3,99.8,91.2,0
"兰州","2025-03",2025,3,99.5,92.3,99.8,91.6,0
"包头","2025-03",2025,3,99.4,93.4,99.2,89.3,0
"北京","2025-03",2025,3,99.8,94.3,100.5,97.9,1
"北海","2025-03",2025,3,99.7,93.5,99.8,94.7,0
"南京","2025-03",2025,3,100.1,97.9,99.6,95.1,0
"南充","2025-03",2025,3,99.9,97,100,93.4,0
"南宁","2025-03",2025,3,100.2,94.7,99.5,91.1,0
"南昌","2025-03",2025,3,100.2,95.6,100.3,89.8,0
"厦门","2025-03",2025,3,100,93.5,99.7,90.3,0
"合肥","2025-03",2025,3,100.2,95.1,99.8,91.8,0
"吉林","2025-03",2025,3,99.6,93.7,99.5,94.4,0
"呼和浩特","2025-03",2025,3,99.5,93.8,99.7,89,0
"哈尔滨","2025-03",2025,3,99.8,94.7,99.7,92.3,0
"唐山","2025-03",2025,3,99.7,92.4,99.4,88.7,0
"大理","2025-03",2025,3,99.7,93.2,99.5,92.5,0
"大连","2025-03",2025,3,99.5,94.8,99.6,91.1,0
"天津","2025-03",2025,3,100.3,97.8,100,95.2,0
"太原","2025-03",2025,3,100.2,101,99.5,95.1,0
"宁波","2025-03",2025,3,100.4,94.4,100.1,92.6,0
"安庆","2025-03",2025,3,99.7,94.3,99.5,91.2,0
"宜昌","2025-03",2025,3,100.3,96.3,99.7,93,0
"岳阳","2025-03",2025,3,99.9,93.8,99.6,93.9,0
"常德","2025-03",2025,3,99.6,92.7,99.5,91.5,0
"平顶山","2025-03",2025,3,99.9,98.7,99.6,95.2,0
"广州","2025-03",2025,3,99.9,92.8,99.8,91.3,1
"徐州","2025-03",2025,3,99.7,94.4,99.4,92.8,0
"惠州","2025-03",2025,3,99.9,94.2,99.2,89.4,0
"成都","2025-03",2025,3,100.5,97.6,100.1,97,0
"扬州","2025-03",2025,3,99.6,93.7,100.3,91.5,0
"无锡","2025-03",2025,3,99.9,95.6,99.5,92.9,0
"昆明","2025-03",2025,3,99.6,92.1,99.7,92.5,0
"杭州","2025-03",2025,3,100.5,99.2,101,97.3,0
"桂林","2025-03",2025,3,100.2,96.5,100.1,94.8,0
"武汉","2025-03",2025,3,100.1,94.2,99.9,91.7,0
"沈阳","2025-03",2025,3,99.9,97.4,99.8,93.8,0
"泉州","2025-03",2025,3,100.2,92.5,99.4,89.2,0
"泸州","2025-03",2025,3,99.8,93.1,100.1,92.3,0
"洛阳","2025-03",2025,3,99.8,94.3,99.8,93.4,0
"济南","2025-03",2025,3,100.3,94.9,100,91.4,0
"济宁","2025-03",2025,3,99.8,95.2,99.9,94.5,0
"海口","2025-03",2025,3,99.8,96.2,99.8,94.1,0
"深圳","2025-03",2025,3,100.1,96.1,100.3,95.9,1
"温州","2025-03",2025,3,99.7,91.1,99.9,90,0
"湛江","2025-03",2025,3,100.2,94.7,99.9,92.7,0
"烟台","2025-03",2025,3,99.6,93.8,99.7,90.6,0
"牡丹江","2025-03",2025,3,99.7,92.9,99.6,92.3,0
"石家庄","2025-03",2025,3,99.9,96,99.9,93.1,0
"福州","2025-03",2025,3,100.1,93.1,99.8,90.6,0
"秦皇岛","2025-03",2025,3,99.5,92.9,99.2,89.4,0
"蚌埠","2025-03",2025,3,99.6,93.9,99.8,93.8,0
"襄阳","2025-03",2025,3,100,94.7,99.6,90.3,0
"西宁","2025-03",2025,3,99.5,94.4,100,92.8,0
"西安","2025-03",2025,3,99.8,97.7,99.7,93.1,0
"贵阳","2025-03",2025,3,99.8,95.5,99.8,95.1,0
"赣州","2025-03",2025,3,99.9,95,99.7,95.3,0
"遵义","2025-03",2025,3,100.1,96.5,99.8,94.3,0
"郑州","2025-03",2025,3,100,95.4,99.3,92.1,0
"重庆","2025-03",2025,3,100.2,94.5,99.8,94.7,0
"金华","2025-03",2025,3,100,91.7,99.9,89.6,0
"银川","2025-03",2025,3,100.1,96,99.6,94.5,0
"锦州","2025-03",2025,3,99.9,95.2,99.7,91.6,0
"长春","2025-03",2025,3,99.7,96.1,99.6,93.6,0
"长沙","2025-03",2025,3,100.3,94.2,99.5,92.1,0
"青岛","2025-03",2025,3,100.2,95.7,99.9,93.1,0
"韶关","2025-03",2025,3,100,94.4,99.8,93.4,0
"三亚","2025-04",2025,4,100.2,97.5,99.6,93.2,0
"上海","2025-04",2025,4,100.5,105.9,100.1,99.4,1
"丹东","2025-04",2025,4,99.9,94.3,100.1,91.4,0
"乌鲁木齐","2025-04",2025,4,100.3,97.9,99.3,94.4,0
"九江","2025-04",2025,4,99.6,93.6,99.9,92.5,0
"兰州","2025-04",2025,4,99.6,92.5,99.7,92.2,0
"包头","2025-04",2025,4,99.6,93.6,99.8,89.9,0
"北京","2025-04",2025,4,100.1,95,99.4,99,1
"北海","2025-04",2025,4,99.6,93.6,99.5,94.6,0
"南京","2025-04",2025,4,99.6,98.3,99.3,95.7,0
"南充","2025-04",2025,4,99.8,96.9,99.7,93.5,0
"南宁","2025-04",2025,4,100.1,95.5,99.6,92.1,0
"南昌","2025-04",2025,4,99.6,95.5,99.5,90.5,0
"厦门","2025-04",2025,4,100.1,94.9,99.4,91.3,0
"合肥","2025-04",2025,4,100.3,96.1,99.7,92.6,0
"吉林","2025-04",2025,4,99.7,94.6,99.6,94.8,0
"呼和浩特","2025-04",2025,4,99.8,94,99.5,89.5,0
"哈尔滨","2025-04",2025,4,99.7,94.8,99.6,92.3,0
"唐山","2025-04",2025,4,99.6,92.7,99.3,88.8,0
"大理","2025-04",2025,4,99.4,93.1,99.6,93.1,0
"大连","2025-04",2025,4,100.5,95.9,99.7,92.3,0
"天津","2025-04",2025,4,100.4,98.1,99.8,96.3,0
"太原","2025-04",2025,4,100.3,101.1,99.4,94.8,0
"宁波","2025-04",2025,4,100,96,99.4,93,0
"安庆","2025-04",2025,4,99.6,94.9,99.3,91.4,0
"宜昌","2025-04",2025,4,100,97.1,99.8,93.3,0
"岳阳","2025-04",2025,4,99.5,93.8,99.6,94.2,0
"常德","2025-04",2025,4,99.8,93.3,99.4,92.1,0
"平顶山","2025-04",2025,4,100.1,98.7,99.4,94.9,0
"广州","2025-04",2025,4,99.8,93.7,100,92.6,1
"徐州","2025-04",2025,4,99.6,94.3,98.9,92.7,0
"惠州","2025-04",2025,4,100.1,95.1,99,89.6,0
"成都","2025-04",2025,4,100.3,98.3,100.1,97.8,0
"扬州","2025-04",2025,4,99.9,94.1,99.4,91.7,0
"无锡","2025-04",2025,4,99.7,96,99.6,94.1,0
"昆明","2025-04",2025,4,99.6,92.3,99.2,91.5,0
"杭州","2025-04",2025,4,100.4,100.1,99.7,98.1,0
"桂林","2025-04",2025,4,99.8,96.8,99.4,95.7,0
"武汉","2025-04",2025,4,99.8,95,99.6,92.7,0
"沈阳","2025-04",2025,4,99.6,97.2,99.5,94.4,0
"泉州","2025-04",2025,4,100.3,93.4,99.8,89.3,0
"泸州","2025-04",2025,4,99.6,93.3,99.9,93.1,0
"洛阳","2025-04",2025,4,99.9,94.4,99.8,93.7,0
"济南","2025-04",2025,4,100,95,99.9,91.7,0
"济宁","2025-04",2025,4,99.7,95.2,99.3,95,0
"海口","2025-04",2025,4,99.8,96.3,99.7,94.5,0
"深圳","2025-04",2025,4,99.9,97,99.7,96.3,1
"温州","2025-04",2025,4,99.8,91.6,99.6,91.1,0
"湛江","2025-04",2025,4,99.8,95.5,99.7,93.5,0
"烟台","2025-04",2025,4,100.1,95,99.5,91.8,0
"牡丹江","2025-04",2025,4,99.8,93.3,99.3,92,0
"石家庄","2025-04",2025,4,99.8,96.3,99.7,93.4,0
"福州","2025-04",2025,4,100.2,93.8,99.6,91.2,0
"秦皇岛","2025-04",2025,4,99.7,93.3,99.2,89.6,0
"蚌埠","2025-04",2025,4,99.5,94.2,99.6,94.4,0
"襄阳","2025-04",2025,4,99.9,95.1,99.6,91,0
"西宁","2025-04",2025,4,99.7,94.6,100.1,93.4,0
"西安","2025-04",2025,4,99.7,97.3,99.6,93.2,0
"贵阳","2025-04",2025,4,99.7,95.4,99.6,95.3,0
"赣州","2025-04",2025,4,99.8,95.3,100.2,96.6,0
"遵义","2025-04",2025,4,100.2,96.4,99.4,94.2,0
"郑州","2025-04",2025,4,100.1,96.2,99.2,92,0
"重庆","2025-04",2025,4,100.3,96,99.8,95.4,0
"金华","2025-04",2025,4,99.9,92.2,99.7,90.1,0
"银川","2025-04",2025,4,99.4,95.9,99.8,95.1,0
"锦州","2025-04",2025,4,99.5,95.4,99.4,92.1,0
"长春","2025-04",2025,4,99.8,96.2,99.7,93.9,0
"长沙","2025-04",2025,4,100.2,95,99.6,92.6,0
"青岛","2025-04",2025,4,100.1,96.5,99.7,93.9,0
"韶关","2025-04",2025,4,99.7,94.6,99.4,93.1,0
"三亚","2025-05",2025,5,100.1,98.2,99.4,93.3,0
"上海","2025-05",2025,5,100.7,105.9,99.3,99.9,1
"丹东","2025-05",2025,5,99.8,94.9,99.6,92.3,0
"乌鲁木齐","2025-05",2025,5,100.4,98.5,99.8,94.8,0
"九江","2025-05",2025,5,100.2,95.5,99.3,92.9,0
"兰州","2025-05",2025,5,99.9,92.9,99.5,92.4,0
"包头","2025-05",2025,5,99.7,93.8,99.5,90.3,0
"北京","2025-05",2025,5,99.6,95.7,99.2,99.3,1
"北海","2025-05",2025,5,99.4,93.5,99.3,94.5,0
"南京","2025-05",2025,5,99.8,99.2,99.1,95.4,0
"南充","2025-05",2025,5,99.7,97,100.1,94.6,0
"南宁","2025-05",2025,5,100.4,97.3,99.7,92.6,0
"南昌","2025-05",2025,5,99.1,95.1,99.3,91.6,0
"厦门","2025-05",2025,5,100.1,96,99.6,92.8,0
"合肥","2025-05",2025,5,100.2,96.5,99.3,92.7,0
"吉林","2025-05",2025,5,100,95.9,99.7,95.6,0
"呼和浩特","2025-05",2025,5,99.7,94.1,99.4,90.1,0
"哈尔滨","2025-05",2025,5,99.9,95.2,99.4,92.5,0
"唐山","2025-05",2025,5,99.5,93,99.2,89.5,0
"大理","2025-05",2025,5,99.6,93.6,99.7,94.2,0
"大连","2025-05",2025,5,99.6,96,99.4,92.7,0
"天津","2025-05",2025,5,99.5,98,99.4,96.7,0
"太原","2025-05",2025,5,100,100.9,99.6,95,0
"宁波","2025-05",2025,5,99.9,97.2,99,93.6,0
"安庆","2025-05",2025,5,99.5,94.9,99.2,91.9,0
"宜昌","2025-05",2025,5,99.9,97.6,99.6,94.1,0
"岳阳","2025-05",2025,5,99.7,93.9,99.4,94.1,0
"常德","2025-05",2025,5,99.8,94.7,99.3,92.5,0
"平顶山","2025-05",2025,5,99.8,98.9,99.7,95.2,0
"广州","2025-05",2025,5,99.2,94.2,99.2,93.4,1
"徐州","2025-05",2025,5,99.8,94.8,99.5,93.4,0
"惠州","2025-05",2025,5,99.7,95.4,99.5,90.2,0
"成都","2025-05",2025,5,100.1,99,99.8,98.7,0
"扬州","2025-05",2025,5,99.1,94.4,99.3,91.3,0
"无锡","2025-05",2025,5,99.6,96.2,100.2,94.9,0
"昆明","2025-05",2025,5,99.5,93.2,99.4,92,0
"杭州","2025-05",2025,5,100.8,101.6,99.6,98.7,0
"桂林","2025-05",2025,5,99.6,96.9,99.2,95.3,0
"武汉","2025-05",2025,5,99.3,95.8,99,93,0
"沈阳","2025-05",2025,5,100.3,98,99.8,94.8,0
"泉州","2025-05",2025,5,99.7,93.8,99.6,89.8,0
"泸州","2025-05",2025,5,99.5,93.6,99.3,93.5,0
"洛阳","2025-05",2025,5,99.6,94.3,100.1,94.7,0
"济南","2025-05",2025,5,99.7,95.3,99.6,92.9,0
"济宁","2025-05",2025,5,99.6,95.7,99.4,95.5,0
"海口","2025-05",2025,5,99.3,95.7,99.9,95.2,0
"深圳","2025-05",2025,5,99.6,97.4,99.5,96.8,1
"温州","2025-05",2025,5,99.8,91.9,99.2,91.2,0
"湛江","2025-05",2025,5,99.9,95.9,99.5,93.7,0
"烟台","2025-05",2025,5,99.9,95.6,99.3,92,0
"牡丹江","2025-05",2025,5,100.1,94.4,99.9,92.8,0
"石家庄","2025-05",2025,5,99.7,96.7,99.6,94,0
"福州","2025-05",2025,5,99.8,94.4,99.4,92,0
"秦皇岛","2025-05",2025,5,99.5,93.7,99.1,89.6,0
"蚌埠","2025-05",2025,5,99.6,94.3,99.5,94.7,0
"襄阳","2025-05",2025,5,99.6,95.4,99.5,91.7,0
"西宁","2025-05",2025,5,100,94.9,99.9,94,0
"西安","2025-05",2025,5,99.6,97,99.3,93.5,0
"贵阳","2025-05",2025,5,99.6,95.6,99.5,95.3,0
"赣州","2025-05",2025,5,100.1,96.2,99.6,97.4,0
"遵义","2025-05",2025,5,99.8,96.5,99.7,94,0
"郑州","2025-05",2025,5,99.5,96.2,99.3,92.1,0
"重庆","2025-05",2025,5,99.5,96.8,99.9,95.9,0
"金华","2025-05",2025,5,99.8,93,99.3,90.8,0
"银川","2025-05",2025,5,99.7,96.4,99.5,95.4,0
"锦州","2025-05",2025,5,99.9,95.6,99.6,92.2,0
"长春","2025-05",2025,5,99.3,95.7,99.5,93.9,0
"长沙","2025-05",2025,5,100.3,96.2,99.3,93.1,0
"青岛","2025-05",2025,5,100,97.3,99.8,94.8,0
"韶关","2025-05",2025,5,99.9,95.3,99.7,93.6,0
"三亚","2025-06",2025,6,100.1,98.2,99.5,93.2,0
"上海","2025-06",2025,6,100.4,106,99.3,98.7,1
"丹东","2025-06",2025,6,100.1,95.5,99.1,92,0
"乌鲁木齐","2025-06",2025,6,100.2,99.4,99.6,95.4,0
"九江","2025-06",2025,6,100.1,96.7,99.2,92.7,0
"兰州","2025-06",2025,6,99.8,94.1,99.3,92.9,0
"包头","2025-06",2025,6,99.5,94.1,99.3,90.9,0
"北京","2025-06",2025,6,99.7,95.9,99,98.2,1
"北海","2025-06",2025,6,99.6,93.5,99.2,93.9,0
"南京","2025-06",2025,6,99,99.4,99.1,94.5,0
"南充","2025-06",2025,6,99.4,97.3,99.3,95.3,0
"南宁","2025-06",2025,6,100.1,97.9,99.5,92.7,0
"南昌","2025-06",2025,6,99.2,94.9,99.1,92.3,0
"厦门","2025-06",2025,6,99.5,97.5,99.4,93.2,0
"合肥","2025-06",2025,6,100.1,97.4,99.1,92.4,0
"吉林","2025-06",2025,6,99.6,95.3,99.6,95.4,0
"呼和浩特","2025-06",2025,6,99.9,94.6,99.6,90.9,0
"哈尔滨","2025-06",2025,6,99.9,96,99.7,93.4,0
"唐山","2025-06",2025,6,99.3,92.9,99.1,89.8,0
"大理","2025-06",2025,6,99.7,94.2,99.8,94.4,0
"大连","2025-06",2025,6,99.8,96.8,99.5,93,0
"天津","2025-06",2025,6,99.8,98.2,99.5,96.5,0
"太原","2025-06",2025,6,100.1,101.3,99.5,95,0
"宁波","2025-06",2025,6,100.3,99.1,99.5,94.4,0
"安庆","2025-06",2025,6,99.7,95,99.4,92.3,0
"宜昌","2025-06",2025,6,100.1,97.8,99.4,94.4,0
"岳阳","2025-06",2025,6,99.6,94.2,99.5,94.3,0
"常德","2025-06",2025,6,99.6,94.6,99.1,92.4,0
"平顶山","2025-06",2025,6,99.7,99.1,99.5,95.3,0
"广州","2025-06",2025,6,99.5,94.9,99.3,94.1,1
"徐州","2025-06",2025,6,99.2,95.1,98.7,92.8,0
"惠州","2025-06",2025,6,99.9,96,99.4,90.9,0
"成都","2025-06",2025,6,99.7,99.7,99.6,99.5,0
"扬州","2025-06",2025,6,99.7,94.3,99.5,91.3,0
"无锡","2025-06",2025,6,99.7,95.9,99.3,95.1,0
"昆明","2025-06",2025,6,99.2,93,99.3,92.2,0
"杭州","2025-06",2025,6,100.2,102.1,99.2,97.6,0
"桂林","2025-06",2025,6,99.7,97,99.6,95.4,0
"武汉","2025-06",2025,6,99.9,96.8,99.1,93.9,0
"沈阳","2025-06",2025,6,100.1,99,99.6,94.9,0
"泉州","2025-06",2025,6,99.5,94.8,99.4,91.1,0
"泸州","2025-06",2025,6,99.7,94,99.5,94.1,0
"洛阳","2025-06",2025,6,99.9,95.1,99.7,95,0
"济南","2025-06",2025,6,99.9,95.8,99.5,93.5,0
"济宁","2025-06",2025,6,99.8,96,99,95.1,0
"海口","2025-06",2025,6,99.1,95.3,99.6,95.6,0
"深圳","2025-06",2025,6,99.4,97.5,99.5,97.2,1
"温州","2025-06",2025,6,99.4,92.7,99.3,91.4,0
"湛江","2025-06",2025,6,100.3,96.9,99.7,93.9,0
"烟台","2025-06",2025,6,99.2,95.4,99.4,93.1,0
"牡丹江","2025-06",2025,6,99.8,94.8,99.9,93.3,0
"石家庄","2025-06",2025,6,99.8,96.9,99.4,94.5,0
"福州","2025-06",2025,6,99.6,94.7,99.5,92.6,0
"秦皇岛","2025-06",2025,6,99.4,94.2,99.3,90.5,0
"蚌埠","2025-06",2025,6,99.8,94.7,99.5,95.1,0
"襄阳","2025-06",2025,6,99.5,95.3,99.2,91.6,0
"西宁","2025-06",2025,6,99.8,95.5,100.1,94.6,0
"西安","2025-06",2025,6,99.5,96.3,99.2,93.4,0
"贵阳","2025-06",2025,6,99.7,95.7,99.4,95.2,0
"赣州","2025-06",2025,6,99.7,96.8,99.3,97.7,0
"遵义","2025-06",2025,6,99.6,96.9,99.3,94,0
"郑州","2025-06",2025,6,99.4,96.3,99.1,91.8,0
"重庆","2025-06",2025,6,99.4,97.1,99.3,96,0
"金华","2025-06",2025,6,99.8,93.6,99.4,91.6,0
"银川","2025-06",2025,6,99.9,96.9,99.2,95.5,0
"锦州","2025-06",2025,6,99.8,96,99.7,92.5,0
"长春","2025-06",2025,6,99.7,95.9,99.4,93.8,0
"长沙","2025-06",2025,6,100.4,96.9,98.8,93.5,0
"青岛","2025-06",2025,6,99.8,97.9,99.5,94.9,0
"韶关","2025-06",2025,6,99.8,95.1,99.6,94,0
"三亚","2025-07",2025,7,100.2,99,99.5,93.4,0
"上海","2025-07",2025,7,100.3,106.1,99.1,97.8,1
"丹东","2025-07",2025,7,99.8,95.5,99.5,92.9,0
"乌鲁木齐","2025-07",2025,7,100.3,100.3,99.7,95.4,0
"九江","2025-07",2025,7,99.7,97.2,99.9,94,0
"兰州","2025-07",2025,7,99.3,94.6,99.7,93.5,0
"包头","2025-07",2025,7,99.4,94.4,99.3,91.5,0
"北京","2025-07",2025,7,100,96.4,98.9,97.1,1
