"household_id","person_order","age","female","employed","bachelor","personal_income","log_income"
"2023GQ0001330",1,28,1,0,0,1360,7.21597500265147
"2023GQ0001364",1,26,0,0,1,27000,10.2036291813376
"2023GQ0001435",1,44,0,0,0,0,0
"2023GQ0001441",1,52,1,0,0,14800,9.60245002503719
"2023GQ0001490",1,36,0,0,0,15000,9.61587214452889
"2023GQ0001504",1,52,1,0,0,18400,9.82016028994637
"2023GQ0001531",1,26,0,0,1,25900,10.1620368569809
"2023GQ0001534",1,44,0,0,0,3000,8.00670084544037
"2023GQ0001547",1,35,0,0,0,0,0
"2023GQ0001568",1,49,0,0,0,0,0
"2023GQ0001581",1,41,1,0,0,0,0
"2023GQ0001601",1,53,1,0,0,0,0
"2023GQ0001612",1,48,1,0,0,22600,10.0257494320691
"2023GQ0001614",1,57,0,0,0,0,0
"2023GQ0001661",1,30,0,0,0,13200,9.48804786328076
"2023GQ0001664",1,60,1,1,0,13700,9.52522410185311
"2023GQ0001668",1,53,0,1,1,20000,9.90353755128617
"2023GQ0001676",1,31,0,0,0,0,0
"2023GQ0001689",1,26,0,0,0,0,0
"2023GQ0001746",1,31,1,1,0,109350,11.6023181710105
"2023GQ0001805",1,34,0,0,0,2000,7.60140233458373
"2023GQ0001839",1,32,0,0,0,0,0
"2023GQ0001846",1,28,0,0,0,11200,9.32375833901174
"2023GQ0001878",1,27,0,0,0,31100,10.3449952519912
"2023GQ0001883",1,27,0,0,0,0,0
"2023GQ0001900",1,49,0,1,0,2000,7.60140233458373
"2023GQ0001909",1,63,0,0,0,13900,9.53971605897709
"2023GQ0001943",1,47,1,0,0,14300,9.56808474387294
"2023GQ0001973",1,41,0,0,0,0,0
"2023GQ0001976",1,33,1,0,0,0,0
"2023GQ0001987",1,31,0,0,0,47300,10.7642867159056
"2023GQ0001994",1,40,0,0,0,0,0
"2023GQ0002039",1,44,0,0,0,0,0
"2023GQ0002112",1,60,1,1,0,95000,11.4616426968431
"2023GQ0002152",1,44,0,0,0,25000,10.1266711030504
"2023GQ0002154",1,44,0,0,0,4600,8.43402895015547
"2023GQ0002173",1,52,0,0,1,15600,9.65509029374725
"2023GQ0002196",1,28,0,0,0,18000,9.7981825908907
"2023GQ0002215",1,31,0,0,0,0,0
"2023GQ0002248",1,29,0,0,0,0,0
"2023GQ0002275",1,56,0,0,1,0,0
"2023GQ0002285",1,28,1,1,0,9300,9.13787720024247
"2023GQ0002324",1,57,1,0,0,0,0
"2023GQ0002327",1,25,0,0,0,28020,10.2407095080479
"2023GQ0002390",1,29,0,1,0,38000,10.5453677541517
"2023GQ0002400",1,47,0,0,0,0,0
"2023GQ0002428",1,37,0,0,0,17400,9.76428295481558
"2023GQ0002431",1,63,1,0,1,0,0
"2023GQ0002457",1,51,0,0,0,0,0
"2023GQ0002460",1,48,1,0,0,700,6.55250788703459
"2023GQ0002486",1,59,1,0,0,2300,7.74109909003537
"2023GQ0002541",1,28,0,0,0,0,0
"2023GQ0002555",1,42,1,0,0,2600,7.86365126544865
"2023GQ0002570",1,25,1,0,0,3000,8.00670084544037
"2023GQ0002596",1,64,1,0,0,2600,7.86365126544865
"2023GQ0002645",1,57,1,0,0,0,0
"2023GQ0002657",1,32,0,0,1,1400,7.24494154633701
"2023GQ0002673",1,42,1,0,0,13600,9.51789859843275
"2023GQ0002686",1,59,0,0,0,195000,12.1807599657379
"2023GQ0002716",1,31,1,0,0,0,0
"2023GQ0002717",1,35,0,0,0,0,0
"2023GQ0002722",1,44,0,0,0,2700,7.90137735379262
"2023GQ0002728",1,28,0,0,0,0,0
"2023GQ0002730",1,59,0,0,0,3600,8.18896686364888
"2023GQ0002731",1,64,0,0,0,480,6.17586727010576
"2023GQ0002799",1,47,0,1,1,101000,11.5228856967645
"2023GQ0002859",1,30,1,0,0,25000,10.1266711030504
"2023GQ0002870",1,53,0,0,0,4000,8.29429960885724
"2023GQ0002899",1,26,0,0,0,0,0
"2023GQ0002909",1,60,0,0,0,0,0
"2023GQ0002917",1,52,0,0,1,0,0
"2023GQ0002918",1,49,0,0,0,22200,10.0078926118909
"2023GQ0002931",1,53,0,0,0,12000,9.39274525863144
"2023GQ0002941",1,48,1,0,0,22600,10.0257494320691
"2023GQ0002953",1,33,1,0,0,0,0
"2023GQ0002957",1,40,0,0,0,0,0
"2023GQ0003002",1,62,0,0,0,13200,9.48804786328076
"2023GQ0003010",1,29,0,0,0,0,0
"2023GQ0003013",1,25,0,0,0,0,0
"2023GQ0003060",1,32,0,0,0,41800,10.6406755416717
"2023GQ0003062",1,60,0,0,0,31000,10.3417747410115
"2023GQ0003067",1,62,1,0,0,25900,10.1620368569809
"2023GQ0003111",1,52,0,0,0,0,0
"2023GQ0003159",1,33,1,1,0,9540,9.16335358075185
"2023GQ0003169",1,27,0,0,0,0,0
"2023GQ0003248",1,30,1,0,0,480,6.17586727010576
"2023GQ0003300",1,32,0,0,0,0,0
"2023GQ0003317",1,38,0,1,0,55400,10.922352923114
"2023GQ0003326",1,64,0,0,0,0,0
"2023GQ0003328",1,54,0,0,0,0,0
"2023GQ0003331",1,37,0,0,0,7200,8.88197518424887
"2023GQ0003339",1,28,0,0,0,28000,10.2399955028053
"2023GQ0003348",1,36,0,0,0,170,5.14166355650266
"2023GQ0003352",1,46,0,0,0,0,0
"2023GQ0003384",1,26,1,1,1,64840,11.0796933983093
"2023GQ0003427",1,46,0,0,0,9000,9.10509096125709
"2023GQ0003432",1,40,0,0,0,600,6.39859493453521
"2023GQ0003454",1,32,0,0,0,0,0
"2023GQ0003503",1,31,0,0,0,0,0
"2023GQ0003512",1,57,0,0,0,13000,9.47278155656217
"2023GQ0003545",1,58,1,0,1,14900,9.60918360377546
"2023GQ0003578",1,40,1,0,1,400350,12.9000969413121
"2023GQ0003630",1,28,0,0,0,91000,11.4186257744496
"2023GQ0003637",1,63,1,0,0,17900,9.79261185619019
"2023GQ0003683",1,30,0,0,0,170,5.14166355650266
"2023GQ0003708",1,53,1,0,0,0,0
"2023GQ0003717",1,63,0,0,0,12400,9.42553239350277
"2023GQ0003720",1,36,1,0,0,0,0
"2023GQ0003738",1,35,1,0,0,13800,9.53249633228804
"2023GQ0003759",1,37,0,0,0,0,0
"2023GQ0003771",1,62,0,0,0,2700,7.90137735379262
"2023GQ0003837",1,48,0,0,0,3100,8.03947991910045
"2023GQ0003841",1,34,1,0,0,18000,9.7981825908907
"2023GQ0003861",1,56,1,0,0,19000,9.85224688834253
"2023GQ0003866",1,63,0,0,0,11000,9.30574145673943
"2023GQ0003906",1,25,0,1,1,72000,11.1844352867906
"2023GQ0003916",1,41,0,0,0,0,0
"2023GQ0003992",1,39,0,0,0,0,0
"2023GQ0003996",1,63,1,0,0,11400,9.34145634983372
"2023GQ0004016",1,28,0,0,1,141000,11.8565222615337
"2023GQ0004021",1,56,1,0,1,14400,9.57505292759738
"2023GQ0004056",1,46,0,0,0,1200,7.09090982207998
"2023GQ0004058",1,42,0,0,0,0,0
"2023GQ0004060",1,56,1,0,0,0,0
"2023GQ0004066",1,29,0,0,0,0,0
"2023GQ0004115",1,55,0,0,0,0,0
"2023GQ0004178",1,38,1,0,1,0,0
"2023GQ0004203",1,57,1,0,0,0,0
"2023GQ0004230",1,34,0,0,0,15300,9.63567346472181
"2023GQ0004240",1,51,1,0,0,0,0
"2023GQ0004252",1,38,0,0,0,0,0
"2023GQ0004260",1,34,1,0,0,4160,8.33351070898294
"2023GQ0004270",1,38,0,0,0,0,0
"2023GQ0004332",1,62,0,0,0,0,0
"2023GQ0004389",1,36,0,0,0,12300,9.41743583886879
"2023GQ0004433",1,48,0,0,0,0,0
"2023GQ0004472",1,55,1,0,1,15000,9.61587214452889
"2023GQ0004489",1,41,1,0,0,5700,8.64839687703158
"2023GQ0004546",1,64,1,1,1,88000,11.3851034570321
"2023GQ0004549",1,63,0,0,0,0,0
"2023GQ0004585",1,64,1,1,1,15000,9.61587214452889
"2023GQ0004586",1,31,1,1,0,12040,9.39607277189222
"2023GQ0004602",1,56,0,0,0,0,0
"2023GQ0004607",1,26,0,0,0,0,0
"2023GQ0004609",1,38,0,0,0,0,0
"2023GQ0004613",1,36,0,0,0,0,0
"2023GQ0004652",1,44,0,1,1,122400,11.7150578189616
"2023GQ0004712",1,28,1,0,0,0,0
"2023GQ0004739",1,46,0,0,0,0,0
"2023GQ0004746",1,50,0,0,0,9000,9.10509096125709
"2023GQ0004753",1,25,0,0,0,88000,11.3851034570321
"2023GQ0004773",1,26,0,0,0,0,0
"2023GQ0004779",1,58,1,0,1,14900,9.60918360377546
"2023GQ0004825",1,46,1,0,0,4800,8.47657950853094
"2023GQ0004829",1,36,0,0,0,6000,8.69968140098951
"2023GQ0004881",1,32,0,0,0,2300,7.74109909003537
"2023GQ0004887",1,36,0,0,0,0,0
"2023GQ0004892",1,37,0,0,0,0,0
"2023GQ0004898",1,26,0,1,1,55000,10.9151066458675
"2023GQ0004941",1,42,0,0,0,0,0
"2023GQ0004944",1,56,0,0,1,0,0
"2023GQ0004979",1,46,0,0,0,170,5.14166355650266
"2023GQ0005017",1,34,0,0,0,0,0
"2023GQ0005080",1,34,1,0,0,2600,7.86365126544865
"2023GQ0005087",1,51,0,0,0,170,5.14166355650266
"2023GQ0005228",1,55,0,0,0,0,0
"2023GQ0005230",1,39,1,0,0,0,0
"2023GQ0005240",1,30,1,0,0,0,0
"2023GQ0005252",1,52,1,0,1,15600,9.65509029374725
"2023GQ0005256",1,60,1,0,0,11400,9.34145634983372
"2023GQ0005289",1,58,0,0,0,2700,7.90137735379262
"2023GQ0005299",1,32,1,0,0,2100,7.650168700845
"2023GQ0005300",1,63,0,0,0,480,6.17586727010576
"2023GQ0005345",1,52,1,0,0,0,0
"2023GQ0005389",1,63,0,0,0,0,0
"2023GQ0005397",1,41,1,0,0,15910,9.67476597290786
"2023GQ0005400",1,63,1,0,0,9600,9.16962253869762
"2023GQ0005420",1,64,0,0,0,0,0
"2023GQ0005422",1,51,0,1,0,55400,10.922352923114
"2023GQ0005435",1,31,0,0,0,1200,7.09090982207998
"2023GQ0005466",1,42,1,0,0,600,6.39859493453521
"2023GQ0005474",1,47,0,0,0,0,0
"2023GQ0005480",1,27,1,0,1,50000,10.8197982842103
"2023GQ0005495",1,51,1,0,0,0,0
"2023GQ0005499",1,27,0,0,0,1300,7.1708884785125
"2023GQ0005568",1,52,0,0,0,20200,9.91348738711446
"2023GQ0005570",1,39,0,0,0,5300,8.57565076098781
"2023GQ0005586",1,55,1,0,0,14400,9.57505292759738
"2023GQ0005606",1,29,1,0,1,0,0
"2023GQ0005634",1,37,0,0,0,0,0
"2023GQ0005648",1,62,0,0,1,1500,7.31388683163346
"2023GQ0005663",1,44,0,0,0,15900,9.6741372793124
"2023GQ0005691",1,39,1,0,0,0,0
"2023GQ0005712",1,30,0,0,0,43700,10.6851262641171
"2023GQ0005724",1,28,0,0,0,28000,10.2399955028053
"2023GQ0005785",1,48,0,0,0,0,0
"2023GQ0005795",1,32,0,0,0,1200,7.09090982207998
"2023GQ0005824",1,30,0,1,0,24000,10.0858507751287
"2023GQ0005844",1,63,0,0,0,15600,9.65509029374725
"2023GQ0005854",1,56,0,0,0,200,5.30330490805908
"2023GQ0005856",1,35,0,0,0,0,0
"2023GQ0005870",1,32,0,0,0,0,0
"2023GQ0005883",1,57,1,0,0,1700,7.43897159239586
"2023GQ0005898",1,39,0,0,0,0,0
"2023GQ0005908",1,63,0,0,0,0,0
"2023GQ0005926",1,46,0,0,0,0,0
"2023GQ0005933",1,27,0,0,0,0,0
"2023GQ0005934",1,28,0,0,1,0,0
"2023GQ0005944",1,25,0,0,0,44000,10.6919676399149
"2023GQ0005955",1,55,0,0,0,0,0
"2023GQ0005997",1,59,1,0,0,0,0
"2023GQ0006102",1,41,1,0,0,33000,10.4042931430198
"2023GQ0006104",1,38,1,0,0,0,0
"2023GQ0006112",1,50,0,1,1,31300,10.3514053248997
"2023GQ0006127",1,39,0,0,0,0,0
"2023GQ0006169",1,25,1,1,0,7800,8.96200720958831
"2023GQ0006177",1,63,1,0,0,0,0
"2023GQ0006188",1,40,0,0,0,0,0
"2023GQ0006241",1,41,1,0,0,5700,8.64839687703158
"2023GQ0006242",1,43,0,0,1,0,0
"2023GQ0006258",1,50,1,0,0,0,0
"2023GQ0006260",1,27,0,0,0,480,6.17586727010576
"2023GQ0006373",1,61,1,0,0,0,0
"2023GQ0006433",1,34,1,0,0,2600,7.86365126544865
"2023GQ0006449",1,25,0,1,1,57000,10.9508240905224
"2023GQ0006458",1,27,0,0,0,0,0
"2023GQ0006498",1,42,0,0,0,0,0
"2023GQ0006610",1,25,1,0,0,26600,10.1887040880481
"2023GQ0006625",1,40,0,0,0,0,0
"2023GQ0006632",1,28,1,1,0,3640,8.20001364817543
"2023GQ0006635",1,33,0,0,0,30500,10.3255147489433
"2023GQ0006694",1,40,0,0,0,20000,9.90353755128617
"2023GQ0006706",1,42,1,0,1,0,0
"2023GQ0006717",1,42,1,1,1,9000,9.10509096125709
"2023GQ0006724",1,58,0,0,0,15900,9.6741372793124
"2023GQ0006738",1,31,0,0,0,10500,9.25922576970599
"2023GQ0006743",1,33,0,0,0,0,0
"2023GQ0006758",1,54,1,0,0,0,0
"2023GQ0006774",1,25,0,0,0,0,0
"2023GQ0006780",1,36,1,1,0,60000,11.002116507732
"2023GQ0006792",1,47,1,0,0,0,0
"2023GQ0006801",1,28,0,1,0,43200,10.6736189221124
"2023GQ0006832",1,32,0,1,0,26000,10.1658902778025
"2023GQ0006882",1,28,0,0,0,20000,9.90353755128617
"2023GQ0006891",1,34,1,0,1,0,0
"2023GQ0006900",1,58,1,0,0,0,0
"2023GQ0006928",1,36,1,1,0,60000,11.002116507732
"2023GQ0006945",1,37,0,0,0,2800,7.93773177526011
"2023GQ0006971",1,53,0,0,0,13900,9.53971605897709
"2023GQ0006976",1,25,0,0,0,50000,10.8197982842103
"2023GQ0006977",1,51,0,0,0,0,0
"2023GQ0006985",1,60,1,0,0,1300,7.1708884785125
"2023GQ0007004",1,43,1,0,0,2400,7.78364059622125
"2023GQ0007043",1,37,1,1,1,24200,10.0941492336051
"2023GQ0007047",1,48,1,0,0,0,0
"2023GQ0007051",1,34,1,0,0,8000,8.98732181285012
"2023GQ0007076",1,28,0,0,0,2400,7.78364059622125
"2023GQ0007096",1,52,0,0,0,16800,9.7291936874294
"2023GQ0007128",1,37,0,0,0,0,0
"2023GQ0007151",1,25,1,0,0,26600,10.1887040880481
"2023GQ0007178",1,50,1,0,0,2700,7.90137735379262
"2023GQ0007184",1,57,0,0,1,480,6.17586727010576
"2023GQ0007206",1,33,1,0,0,600,6.39859493453521
"2023GQ0007228",1,54,1,0,0,24000,10.0858507751287
"2023GQ0007290",1,49,0,0,0,840,6.73459165997295
"2023GQ0007369",1,35,0,0,0,7200,8.88197518424887
"2023GQ0007381",1,48,0,0,0,0,0
"2023GQ0007403",1,34,0,0,0,0,0
"2023GQ0007409",1,25,0,0,0,0,0
"2023GQ0007471",1,57,1,0,0,0,0
"2023GQ0007489",1,33,0,0,0,25000,10.1266711030504
"2023GQ0007498",1,46,0,0,0,0,0
"2023GQ0007509",1,26,0,0,0,0,0
"2023GQ0007516",1,46,0,0,0,0,0
"2023GQ0007557",1,25,0,1,1,10000,9.21044036697652
"2023GQ0007559",1,39,0,0,0,0,0
"2023GQ0007682",1,26,0,0,1,0,0
"2023GQ0007693",1,38,1,0,1,0,0
"2023GQ0007705",1,63,0,0,0,4800,8.47657950853094
"2023GQ0007720",1,58,1,0,0,6100,8.71620797115185
"2023GQ0007762",1,38,0,0,0,1000,6.90875477931522
"2023GQ0007779",1,27,0,0,0,0,0
"2023GQ0007784",1,26,0,0,0,20000,9.90353755128617
"2023GQ0007787",1,28,0,0,0,65000,11.0821579333748
"2023GQ0007849",1,46,0,0,0,175000,12.072546967175
"2023GQ0007870",1,37,0,0,0,10000,9.21044036697652
"2023GQ0007889",1,48,0,0,0,11200,9.32375833901174
"2023GQ0007917",1,27,0,0,0,0,0
"2023GQ0007921",1,45,1,0,0,700,6.55250788703459
"2023GQ0007936",1,31,0,0,0,21800,9.98971111928475
"2023GQ0007954",1,28,0,0,0,0,0
"2023GQ0007978",1,46,0,0,0,0,0
"2023GQ0007985",1,61,0,0,0,13200,9.48804786328076
"2023GQ0007993",1,28,0,0,0,0,0
"2023GQ0008012",1,63,0,0,0,0,0
"2023GQ0008028",1,56,0,0,0,4700,8.45553053102413
"2023GQ0008029",1,61,0,0,0,0,0
"2023GQ0008035",1,38,0,0,0,33000,10.4042931430198
"2023GQ0008053",1,41,1,0,0,13600,9.51789859843275
"2023GQ0008054",1,43,0,0,0,0,0
"2023GQ0008118",1,56,1,0,0,19000,9.85224688834253
"2023GQ0008134",1,54,1,0,0,8200,9.01201137703641
"2023GQ0008139",1,38,1,0,0,0,0
"2023GQ0008149",1,45,1,0,0,2600,7.86365126544865
"2023GQ0008187",1,28,0,0,0,65000,11.0821579333748
"2023GQ0008285",1,57,1,0,1,0,0
"2023GQ0008348",1,28,0,0,0,0,0
"2023GQ0008372",1,39,0,0,0,0,0
"2023GQ0008376",1,25,0,1,1,50610,10.8319242229538
"2023GQ0008389",1,62,1,0,0,25900,10.1620368569809
"2023GQ0008399",1,57,1,0,1,0,0
"2023GQ0008414",1,44,0,0,0,0,0
"2023GQ0008428",1,53,0,0,0,2100,7.650168700845
"2023GQ0008429",1,40,0,0,0,0,0
"2023GQ0008452",1,40,0,0,0,0,0
"2023GQ0008453",1,61,0,0,0,16800,9.7291936874294
"2023GQ0008466",1,48,1,0,0,22600,10.0257494320691
"2023GQ0008483",1,46,0,0,0,0,0
"2023GQ0008487",1,43,0,0,0,10900,9.29660980712836
"2023GQ0008489",1,41,0,0,0,0,0
"2023GQ0008528",1,44,0,0,0,22900,10.0389358567112
"2023GQ0008545",1,56,0,0,0,17800,9.78700991447743
"2023GQ0008562",1,31,1,1,0,60000,11.002116507732
"2023GQ0008571",1,33,0,0,0,0,0
"2023GQ0008577",1,44,0,0,0,0,0
"2023GQ0008645",1,30,0,0,1,0,0
"2023GQ0008647",1,34,0,0,0,0,0
"2023GQ0008648",1,64,1,0,0,600,6.39859493453521
"2023GQ0008699",1,36,0,0,0,0,0
"2023GQ0008707",1,56,0,0,1,13600,9.51789859843275
"2023GQ0008754",1,42,0,0,0,0,0
"2023GQ0008776",1,43,1,0,0,2100,7.650168700845
"2023GQ0008802",1,26,0,0,0,0,0
"2023GQ0008812",1,59,0,0,0,0,0
"2023GQ0008822",1,63,0,0,0,13000,9.47278155656217
"2023GQ0008862",1,52,0,0,0,24500,10.1064692120264
"2023GQ0008877",1,39,1,0,0,0,0
"2023GQ0008884",1,37,0,0,1,80000,11.2897944135779
"2023GQ0008885",1,38,0,0,0,0,0
"2023GQ0008892",1,49,0,0,0,22200,10.0078926118909
"2023GQ0008929",1,48,0,1,0,33700,10.4252827894907
"2023GQ0008935",1,31,0,0,0,54000,10.8967578438935
"2023GQ0009057",1,30,0,0,1,32400,10.3859445655017
"2023GQ0009060",1,37,0,0,0,12700,9.44943600950432
"2023GQ0009065",1,61,1,0,0,28800,10.2681653877435
"2023GQ0009070",1,62,0,0,0,2700,7.90137735379262
"2023GQ0009099",1,57,0,0,0,13000,9.47278155656217
"2023GQ0009131",1,34,1,1,1,684000,13.4357146585919
"2023GQ0009141",1,47,0,0,0,0,0
"2023GQ0009184",1,61,0,0,1,188000,12.1442025609469
"2023GQ0009205",1,28,1,0,1,0,0
"2023GQ0009208",1,48,0,0,0,0,0
"2023GQ0009231",1,41,0,0,0,85000,11.3504183001091
"2023GQ0009241",1,60,0,1,0,10000,9.21044036697652
"2023GQ0009256",1,58,0,0,0,14600,9.58884529850156
"2023GQ0009257",1,56,1,0,0,11000,9.30574145673943
"2023GQ0009262",1,63,1,0,0,24700,10.1145990076265
"2023GQ0009293",1,63,0,0,0,15600,9.65509029374725
"2023GQ0009312",1,60,0,0,0,480,6.17586727010576
"2023GQ0009330",1,53,0,0,0,0,0
"2023GQ0009359",1,25,0,0,0,1300,7.1708884785125
"2023GQ0009363",1,33,0,0,0,0,0
"2023GQ0009381",1,47,0,0,0,0,0
"2023GQ0009390",1,27,0,0,0,0,0
"2023GQ0009421",1,59,0,0,0,0,0
"2023GQ0009423",1,56,0,0,0,1400,7.24494154633701
"2023GQ0009457",1,34,1,0,1,0,0
"2023GQ0009464",1,48,0,0,0,0,0
"2023GQ0009474",1,29,0,0,0,0,0
"2023GQ0009527",1,54,0,0,0,0,0
"2023GQ0009532",1,54,0,0,0,480,6.17586727010576
"2023GQ0009558",1,53,0,0,0,13900,9.53971605897709
"2023GQ0009574",1,58,1,0,0,6100,8.71620797115185
"2023GQ0009585",1,32,1,1,0,18000,9.7981825908907
"2023GQ0009594",1,51,0,0,0,0,0
"2023GQ0009611",1,60,0,0,0,11800,9.37593955262575
"2023GQ0009618",1,48,1,1,0,12000,9.39274525863144
"2023GQ0009639",1,62,0,0,0,0,0
"2023GQ0009666",1,36,0,0,0,21900,9.99428757686257
"2023GQ0009673",1,62,0,0,0,0,0
"2023GQ0009705",1,42,0,0,0,0,0
"2023GQ0009739",1,46,0,0,0,0,0
"2023GQ0009744",1,31,0,1,0,55000,10.9151066458675
"2023GQ0009754",1,41,0,0,0,6000,8.69968140098951
"2023GQ0009765",1,52,1,0,0,0,0
"2023GQ0009798",1,56,0,0,0,12000,9.39274525863144
"2023GQ0009806",1,50,0,0,0,0,0
"2023GQ0009810",1,40,0,0,0,0,0
"2023GQ0009836",1,33,0,0,0,17300,9.75851958228352
"2023GQ0009883",1,50,0,0,0,0,0
"2023GQ0009889",1,60,0,0,0,0,0
"2023GQ0009902",1,56,0,0,0,0,0
"2023GQ0009915",1,44,0,1,1,122400,11.7150578189616
"2023GQ0009916",1,58,1,1,0,35000,10.463131911492
"2023GQ0009955",1,31,0,0,0,0,0
"2023GQ0009971",1,25,0,0,0,0,0
"2023GQ0009979",1,42,0,0,0,0,0
"2023GQ0009982",1,31,0,0,0,0,0
"2023GQ0009998",1,38,0,0,0,0,0
"2023GQ0010001",1,34,1,0,0,80000,11.2897944135779
"2023GQ0010002",1,25,0,0,0,39900,10.5941566652205
"2023GQ0010005",1,44,0,0,0,0,0
"2023GQ0010034",1,58,0,0,0,2700,7.90137735379262
"2023GQ0010056",1,57,0,0,0,690,6.53813982376767
"2023GQ0010073",1,34,0,0,0,0,0
"2023GQ0010093",1,63,1,0,0,12500,9.43356392009056
"2023GQ0010127",1,62,0,0,1,0,0
"2023GQ0010132",1,29,0,1,0,1000,6.90875477931522
"2023GQ0010179",1,39,0,0,0,1200,7.09090982207998
"2023GQ0010188",1,41,0,0,0,0,0
"2023GQ0010205",1,30,0,0,0,0,0
"2023GQ0010228",1,61,0,0,0,6000,8.69968140098951
"2023GQ0010236",1,63,1,0,0,0,0
"2023GQ0010253",1,50,1,0,0,0,0
"2023GQ0010259",1,31,0,0,0,21800,9.98971111928475
"2023GQ0010261",1,28,0,1,1,38000,10.5453677541517
"2023GQ0010284",1,58,0,0,0,0,0
"2023GQ0010318",1,57,1,0,0,31100,10.3449952519912
"2023GQ0010349",1,28,0,0,0,2700,7.90137735379262
"2023GQ0010366",1,45,0,0,0,25000,10.1266711030504
"2023GQ0010368",1,30,0,0,0,17900,9.79261185619019
"2023GQ0010375",1,32,0,0,0,0,0
"2023GQ0010390",1,52,0,0,0,0,0
"2023GQ0010415",1,43,0,0,0,0,0
"2023GQ0010459",1,27,1,0,0,0,0
"2023GQ0010470",1,31,1,1,1,29000,10.2750855911327
"2023GQ0010487",1,28,0,1,0,17100,9.74689222031305
"2023GQ0010542",1,38,0,0,0,2400,7.78364059622125
"2023GQ0010564",1,26,0,1,1,50000,10.8197982842103
"2023GQ0010576",1,51,0,0,0,35000,10.463131911492
"2023GQ0010584",1,56,1,0,0,18000,9.7981825908907
"2023GQ0010587",1,52,1,0,0,0,0
"2023GQ0010629",1,29,0,0,0,0,0
"2023GQ0010632",1,38,0,0,1,145000,11.8844959179307
