city,date,year,month,new_house_mom,new_house_yoy,second_hand_mom,second_hand_yoy
济南,2025-01,2025,1,99.8,93.7,99.9,90.1
济宁,2025-01,2025,1,99.8,94.7,99.5,94.2
海口,2025-01,2025,1,100.4,95.8,99.7,92.9
深圳,2025-01,2025,1,100.2,94.8,100.4,93.9
温州,2025-01,2025,1,99.9,90.0,99.8,88.9
湛江,2025-01,2025,1,99.9,93.3,99.5,92.2
烟台,2025-01,2025,1,99.6,94.1,99.5,91.0
牡丹江,2025-01,2025,1,99.6,92.9,99.4,91.9
石家庄,2025-01,2025,1,99.9,96.5,99.7,92.6
福州,2025-01,2025,1,100.2,92.3,99.5,90.6
秦皇岛,2025-01,2025,1,99.7,92.7,99.5,88.9
蚌埠,2025-01,2025,1,99.8,93.5,99.7,92.7
襄阳,2025-01,2025,1,99.8,93.3,99.2,89.9
西宁,2025-01,2025,1,99.7,94.5,99.6,92.6
西安,2025-01,2025,1,99.6,99.0,99.7,93.0
贵阳,2025-01,2025,1,99.8,95.1,99.7,94.5
赣州,2025-01,2025,1,100.2,94.7,99.8,94.6
遵义,2025-01,2025,1,100.1,96.6,99.7,94.4
郑州,2025-01,2025,1,100.3,94.6,99.3,92.2
重庆,2025-01,2025,1,100.4,94.8,99.6,94.4
金华,2025-01,2025,1,100.0,89.7,99.9,88.2
银川,2025-01,2025,1,99.8,95.6,99.7,94.3
锦州,2025-01,2025,1,99.5,95.4,99.2,91.4
长春,2025-01,2025,1,99.8,95.8,99.5,93.3
长沙,2025-01,2025,1,100.0,93.5,99.7,91.5
青岛,2025-01,2025,1,100.1,94.8,100.0,92.2
韶关,2025-01,2025,1,99.7,94.2,99.8,93.0
三亚,2025-02,2025,2,99.9,96.8,99.8,93.1
上海,2025-02,2025,2,100.2,105.6,99.6,97.9
丹东,2025-02,2025,2,99.6,93.8,100.0,89.6
乌鲁木齐,2025-02,2025,2,99.9,96.8,99.7,94.2
九江,2025-02,2025,2,100.0,93.0,99.8,91.1
兰州,2025-02,2025,2,99.8,92.7,99.9,91.0
包头,2025-02,2025,2,99.6,93.6,99.8,89.4
北京,2025-02,2025,2,100.1,94.5,100.0,97.1
北海,2025-02,2025,2,99.7,94.1,99.4,94.6
南京,2025-02,2025,2,100.5,96.6,99.7,94.9
南充,2025-02,2025,2,99.8,97.1,99.7,93.2
南宁,2025-02,2025,2,100.1,93.8,99.6,91.1
南昌,2025-02,2025,2,100.3,95.0,99.7,89.5
厦门,2025-02,2025,2,100.2,92.9,99.7,90.0
合肥,2025-02,2025,2,100.2,94.7,99.7,91.8
吉林,2025-02,2025,2,99.6,94.3,99.8,94.2
呼和浩特,2025-02,2025,2,99.4,93.9,99.6,88.8
哈尔滨,2025-02,2025,2,100.3,94.6,99.6,91.9
唐山,2025-02,2025,2,99.5,92.3,99.4,88.6
大理,2025-02,2025,2,99.8,93.7,99.7,92.7
大连,2025-02,2025,2,100.3,95.0,99.3,90.7
天津,2025-02,2025,2,99.7,97.2,99.6,94.5
太原,2025-02,2025,2,100.1,101.2,99.4,95.6
宁波,2025-02,2025,2,100.3,93.4,99.6,92.0
安庆,2025-02,2025,2,99.8,94.0,99.4,91.1
宜昌,2025-02,2025,2,100.1,95.5,99.6,92.8
岳阳,2025-02,2025,2,99.6,93.6,99.9,94.1
常德,2025-02,2025,2,100.1,92.7,99.7,91.1
平顶山,2025-02,2025,2,100.0,98.9,99.7,95.0
广州,2025-02,2025,2,99.8,92.2,99.7,90.6
徐州,2025-02,2025,2,99.6,93.9,99.2,92.6
惠州,2025-02,2025,2,99.8,93.7,99.5,89.8
成都,2025-02,2025,2,100.3,97.0,100.2,96.2
扬州,2025-02,2025,2,99.9,93.6,99.1,90.9
无锡,2025-02,2025,2,99.2,95.4,99.9,92.7
昆明,2025-02,2025,2,99.9,91.7,99.5,92.3
杭州,2025-02,2025,2,99.9,98.7,99.8,95.9
桂林,2025-02,2025,2,99.7,96.4,99.5,94.2
武汉,2025-02,2025,2,99.7,93.3,99.4,91.0
沈阳,2025-02,2025,2,100.2,97.2,99.7,93.4
泉州,2025-02,2025,2,100.2,92.1,99.9,89.1
泸州,2025-02,2025,2,99.6,92.7,99.5,91.8
洛阳,2025-02,2025,2,99.9,94.2,99.7,93.2
济南,2025-02,2025,2,100.3,94.3,99.8,90.6
济宁,2025-02,2025,2,99.7,95.0,99.8,94.4
海口,2025-02,2025,2,100.0,96.3,100.2,93.6
深圳,2025-02,2025,2,100.4,95.6,100.3,94.7
温州,2025-02,2025,2,100.0,90.6,99.8,89.6
湛江,2025-02,2025,2,99.5,93.9,99.6,92.5
烟台,2025-02,2025,2,99.4,93.9,99.2,90.5
牡丹江,2025-02,2025,2,99.8,92.8,99.6,92.1
石家庄,2025-02,2025,2,99.7,96.0,99.8,93.0
福州,2025-02,2025,2,99.9,92.9,99.4,90.9
秦皇岛,2025-02,2025,2,99.8,92.9,99.6,89.6
蚌埠,2025-02,2025,2,99.7,93.9,99.8,93.4
襄阳,2025-02,2025,2,99.9,94.0,99.4,89.9
西宁,2025-02,2025,2,99.9,94.6,99.5,92.6
西安,2025-02,2025,2,99.5,98.3,99.6,93.0
贵阳,2025-02,2025,2,100.0,95.4,99.8,94.9
赣州,2025-02,2025,2,100.0,94.9,99.9,95.1
遵义,2025-02,2025,2,99.6,96.6,99.5,94.3
郑州,2025-02,2025,2,99.6,94.6,99.4,92.4
重庆,2025-02,2025,2,99.8,94.6,99.9,94.5
金华,2025-02,2025,2,99.9,90.4,99.7,88.8
银川,2025-02,2025,2,99.4,95.6,99.3,94.4
锦州,2025-02,2025,2,99.7,95.2,99.5,91.5
长春,2025-02,2025,2,99.5,95.8,99.3,93.4
长沙,2025-02,2025,2,99.8,93.5,99.6,91.6
青岛,2025-02,2025,2,100.0,95.2,99.9,92.7
韶关,2025-02,2025,2,99.4,94.2,99.7,93.5
三亚,2025-03,2025,3,99.8,96.8,99.7,93.2
上海,2025-03,2025,3,100.7,105.7,100.4,98.6
丹东,2025-03,2025,3,99.3,93.5,99.6,90.1
乌鲁木齐,2025-03,2025,3,100.1,97.2,99.8,94.5
九江,2025-03,2025,3,99.7,93.3,99.8,91.2
兰州,2025-03,2025,3,99.5,92.3,99.8,91.6
包头,2025-03,2025,3,99.4,93.4,99.2,89.3
北京,2025-03,2025,3,99.8,94.3,100.5,97.9
北海,2025-03,2025,3,99.7,93.5,99.8,94.7
南京,2025-03,2025,3,100.1,97.9,99.6,95.1
南充,2025-03,2025,3,99.9,97.0,100.0,93.4
南宁,2025-03,2025,3,100.2,94.7,99.5,91.1
南昌,2025-03,2025,3,100.2,95.6,100.3,89.8
厦门,2025-03,2025,3,100.0,93.5,99.7,90.3
合肥,2025-03,2025,3,100.2,95.1,99.8,91.8
吉林,2025-03,2025,3,99.6,93.7,99.5,94.4
呼和浩特,2025-03,2025,3,99.5,93.8,99.7,89.0
哈尔滨,2025-03,2025,3,99.8,94.7,99.7,92.3
唐山,2025-03,2025,3,99.7,92.4,99.4,88.7
大理,2025-03,2025,3,99.7,93.2,99.5,92.5
大连,2025-03,2025,3,99.5,94.8,99.6,91.1
天津,2025-03,2025,3,100.3,97.8,100.0,95.2
太原,2025-03,2025,3,100.2,101.0,99.5,95.1
宁波,2025-03,2025,3,100.4,94.4,100.1,92.6
安庆,2025-03,2025,3,99.7,94.3,99.5,91.2
宜昌,2025-03,2025,3,100.3,96.3,99.7,93.0
岳阳,2025-03,2025,3,99.9,93.8,99.6,93.9
常德,2025-03,2025,3,99.6,92.7,99.5,91.5
平顶山,2025-03,2025,3,99.9,98.7,99.6,95.2
广州,2025-03,2025,3,99.9,92.8,99.8,91.3
徐州,2025-03,2025,3,99.7,94.4,99.4,92.8
惠州,2025-03,2025,3,99.9,94.2,99.2,89.4
成都,2025-03,2025,3,100.5,97.6,100.1,97.0
扬州,2025-03,2025,3,99.6,93.7,100.3,91.5
无锡,2025-03,2025,3,99.9,95.6,99.5,92.9
昆明,2025-03,2025,3,99.6,92.1,99.7,92.5
杭州,2025-03,2025,3,100.5,99.2,101.0,97.3
桂林,2025-03,2025,3,100.2,96.5,100.1,94.8
武汉,2025-03,2025,3,100.1,94.2,99.9,91.7
沈阳,2025-03,2025,3,99.9,97.4,99.8,93.8
泉州,2025-03,2025,3,100.2,92.5,99.4,89.2
泸州,2025-03,2025,3,99.8,93.1,100.1,92.3
洛阳,2025-03,2025,3,99.8,94.3,99.8,93.4
济南,2025-03,2025,3,100.3,94.9,100.0,91.4
济宁,2025-03,2025,3,99.8,95.2,99.9,94.5
海口,2025-03,2025,3,99.8,96.2,99.8,94.1
深圳,2025-03,2025,3,100.1,96.1,100.3,95.9
温州,2025-03,2025,3,99.7,91.1,99.9,90.0
湛江,2025-03,2025,3,100.2,94.7,99.9,92.7
烟台,2025-03,2025,3,99.6,93.8,99.7,90.6
牡丹江,2025-03,2025,3,99.7,92.9,99.6,92.3
石家庄,2025-03,2025,3,99.9,96.0,99.9,93.1
福州,2025-03,2025,3,100.1,93.1,99.8,90.6
秦皇岛,2025-03,2025,3,99.5,92.9,99.2,89.4
蚌埠,2025-03,2025,3,99.6,93.9,99.8,93.8
襄阳,2025-03,2025,3,100.0,94.7,99.6,90.3
西宁,2025-03,2025,3,99.5,94.4,100.0,92.8
西安,2025-03,2025,3,99.8,97.7,99.7,93.1
贵阳,2025-03,2025,3,99.8,95.5,99.8,95.1
赣州,2025-03,2025,3,99.9,95.0,99.7,95.3
遵义,2025-03,2025,3,100.1,96.5,99.8,94.3
郑州,2025-03,2025,3,100.0,95.4,99.3,92.1
重庆,2025-03,2025,3,100.2,94.5,99.8,94.7
金华,2025-03,2025,3,100.0,91.7,99.9,89.6
银川,2025-03,2025,3,100.1,96.0,99.6,94.5
锦州,2025-03,2025,3,99.9,95.2,99.7,91.6
长春,2025-03,2025,3,99.7,96.1,99.6,93.6
长沙,2025-03,2025,3,100.3,94.2,99.5,92.1
青岛,2025-03,2025,3,100.2,95.7,99.9,93.1
韶关,2025-03,2025,3,100.0,94.4,99.8,93.4
三亚,2025-04,2025,4,100.2,97.5,99.6,93.2
上海,2025-04,2025,4,100.5,105.9,100.1,99.4
丹东,2025-04,2025,4,99.9,94.3,100.1,91.4
乌鲁木齐,2025-04,2025,4,100.3,97.9,99.3,94.4
九江,2025-04,2025,4,99.6,93.6,99.9,92.5
兰州,2025-04,2025,4,99.6,92.5,99.7,92.2
包头,2025-04,2025,4,99.6,93.6,99.8,89.9
北京,2025-04,2025,4,100.1,95.0,99.4,99.0
北海,2025-04,2025,4,99.6,93.6,99.5,94.6
南京,2025-04,2025,4,99.6,98.3,99.3,95.7
南充,2025-04,2025,4,99.8,96.9,99.7,93.5
南宁,2025-04,2025,4,100.1,95.5,99.6,92.1
南昌,2025-04,2025,4,99.6,95.5,99.5,90.5
厦门,2025-04,2025,4,100.1,94.9,99.4,91.3
合肥,2025-04,2025,4,100.3,96.1,99.7,92.6
吉林,2025-04,2025,4,99.7,94.6,99.6,94.8
呼和浩特,2025-04,2025,4,99.8,94.0,99.5,89.5
哈尔滨,2025-04,2025,4,99.7,94.8,99.6,92.3
唐山,2025-04,2025,4,99.6,92.7,99.3,88.8
大理,2025-04,2025,4,99.4,93.1,99.6,93.1
大连,2025-04,2025,4,100.5,95.9,99.7,92.3
天津,2025-04,2025,4,100.4,98.1,99.8,96.3
太原,2025-04,2025,4,100.3,101.1,99.4,94.8
宁波,2025-04,2025,4,100.0,96.0,99.4,93.0
安庆,2025-04,2025,4,99.6,94.9,99.3,91.4
宜昌,2025-04,2025,4,100.0,97.1,99.8,93.3
岳阳,2025-04,2025,4,99.5,93.8,99.6,94.2
常德,2025-04,2025,4,99.8,93.3,99.4,92.1
平顶山,2025-04,2025,4,100.1,98.7,99.4,94.9
广州,2025-04,2025,4,99.8,93.7,100.0,92.6
徐州,2025-04,2025,4,99.6,94.3,98.9,92.7
惠州,2025-04,2025,4,100.1,95.1,99.0,89.6
成都,2025-04,2025,4,100.3,98.3,100.1,97.8
扬州,2025-04,2025,4,99.9,94.1,99.4,91.7
无锡,2025-04,2025,4,99.7,96.0,99.6,94.1
昆明,2025-04,2025,4,99.6,92.3,99.2,91.5
杭州,2025-04,2025,4,100.4,100.1,99.7,98.1
桂林,2025-04,2025,4,99.8,96.8,99.4,95.7
武汉,2025-04,2025,4,99.8,95.0,99.6,92.7
沈阳,2025-04,2025,4,99.6,97.2,99.5,94.4
泉州,2025-04,2025,4,100.3,93.4,99.8,89.3
泸州,2025-04,2025,4,99.6,93.3,99.9,93.1
洛阳,2025-04,2025,4,99.9,94.4,99.8,93.7
济南,2025-04,2025,4,100.0,95.0,99.9,91.7
济宁,2025-04,2025,4,99.7,95.2,99.3,95.0
海口,2025-04,2025,4,99.8,96.3,99.7,94.5
深圳,2025-04,2025,4,99.9,97.0,99.7,96.3
温州,2025-04,2025,4,99.8,91.6,99.6,91.1
湛江,2025-04,2025,4,99.8,95.5,99.7,93.5
烟台,2025-04,2025,4,100.1,95.0,99.5,91.8
牡丹江,2025-04,2025,4,99.8,93.3,99.3,92.0
石家庄,2025-04,2025,4,99.8,96.3,99.7,93.4
福州,2025-04,2025,4,100.2,93.8,99.6,91.2
秦皇岛,2025-04,2025,4,99.7,93.3,99.2,89.6
蚌埠,2025-04,2025,4,99.5,94.2,99.6,94.4
襄阳,2025-04,2025,4,99.9,95.1,99.6,91.0
西宁,2025-04,2025,4,99.7,94.6,100.1,93.4
西安,2025-04,2025,4,99.7,97.3,99.6,93.2
贵阳,2025-04,2025,4,99.7,95.4,99.6,95.3
赣州,2025-04,2025,4,99.8,95.3,100.2,96.6
遵义,2025-04,2025,4,100.2,96.4,99.4,94.2
郑州,2025-04,2025,4,100.1,96.2,99.2,92.0
重庆,2025-04,2025,4,100.3,96.0,99.8,95.4
金华,2025-04,2025,4,99.9,92.2,99.7,90.1
银川,2025-04,2025,4,99.4,95.9,99.8,95.1
锦州,2025-04,2025,4,99.5,95.4,99.4,92.1
长春,2025-04,2025,4,99.8,96.2,99.7,93.9
长沙,2025-04,2025,4,100.2,95.0,99.6,92.6
青岛,2025-04,2025,4,100.1,96.5,99.7,93.9
韶关,2025-04,2025,4,99.7,94.6,99.4,93.1
三亚,2025-05,2025,5,100.1,98.2,99.4,93.3
上海,2025-05,2025,5,100.7,105.9,99.3,99.9
丹东,2025-05,2025,5,99.8,94.9,99.6,92.3
乌鲁木齐,2025-05,2025,5,100.4,98.5,99.8,94.8
九江,2025-05,2025,5,100.2,95.5,99.3,92.9
兰州,2025-05,2025,5,99.9,92.9,99.5,92.4
包头,2025-05,2025,5,99.7,93.8,99.5,90.3
北京,2025-05,2025,5,99.6,95.7,99.2,99.3
北海,2025-05,2025,5,99.4,93.5,99.3,94.5
南京,2025-05,2025,5,99.8,99.2,99.1,95.4
南充,2025-05,2025,5,99.7,97.0,100.1,94.6
南宁,2025-05,2025,5,100.4,97.3,99.7,92.6
南昌,2025-05,2025,5,99.1,95.1,99.3,91.6
厦门,2025-05,2025,5,100.1,96.0,99.6,92.8
合肥,2025-05,2025,5,100.2,96.5,99.3,92.7
吉林,2025-05,2025,5,100.0,95.9,99.7,95.6
呼和浩特,2025-05,2025,5,99.7,94.1,99.4,90.1
哈尔滨,2025-05,2025,5,99.9,95.2,99.4,92.5
唐山,2025-05,2025,5,99.5,93.0,99.2,89.5
大理,2025-05,2025,5,99.6,93.6,99.7,94.2
大连,2025-05,2025,5,99.6,96.0,99.4,92.7
天津,2025-05,2025,5,99.5,98.0,99.4,96.7
太原,2025-05,2025,5,100.0,100.9,99.6,95.0
宁波,2025-05,2025,5,99.9,97.2,99.0,93.6
安庆,2025-05,2025,5,99.5,94.9,99.2,91.9
宜昌,2025-05,2025,5,99.9,97.6,99.6,94.1
岳阳,2025-05,2025,5,99.7,93.9,99.4,94.1
常德,2025-05,2025,5,99.8,94.7,99.3,92.5
平顶山,2025-05,2025,5,99.8,98.9,99.7,95.2
广州,2025-05,2025,5,99.2,94.2,99.2,93.4
徐州,2025-05,2025,5,99.8,94.8,99.5,93.4
惠州,2025-05,2025,5,99.7,95.4,99.5,90.2
成都,2025-05,2025,5,100.1,99.0,99.8,98.7
扬州,2025-05,2025,5,99.1,94.4,99.3,91.3
无锡,2025-05,2025,5,99.6,96.2,100.2,94.9
昆明,2025-05,2025,5,99.5,93.2,99.4,92.0
杭州,2025-05,2025,5,100.8,101.6,99.6,98.7
桂林,2025-05,2025,5,99.6,96.9,99.2,95.3
武汉,2025-05,2025,5,99.3,95.8,99.0,93.0
沈阳,2025-05,2025,5,100.3,98.0,99.8,94.8
泉州,2025-05,2025,5,99.7,93.8,99.6,89.8
泸州,2025-05,2025,5,99.5,93.6,99.3,93.5
洛阳,2025-05,2025,5,99.6,94.3,100.1,94.7
济南,2025-05,2025,5,99.7,95.3,99.6,92.9
济宁,2025-05,2025,5,99.6,95.7,99.4,95.5
海口,2025-05,2025,5,99.3,95.7,99.9,95.2
深圳,2025-05,2025,5,99.6,97.4,99.5,96.8
温州,2025-05,2025,5,99.8,91.9,99.2,91.2
湛江,2025-05,2025,5,99.9,95.9,99.5,93.7
烟台,2025-05,2025,5,99.9,95.6,99.3,92.0
牡丹江,2025-05,2025,5,100.1,94.4,99.9,92.8
石家庄,2025-05,2025,5,99.7,96.7,99.6,94.0
福州,2025-05,2025,5,99.8,94.4,99.4,92.0
秦皇岛,2025-05,2025,5,99.5,93.7,99.1,89.6
蚌埠,2025-05,2025,5,99.6,94.3,99.5,94.7
襄阳,2025-05,2025,5,99.6,95.4,99.5,91.7
西宁,2025-05,2025,5,100.0,94.9,99.9,94.0
西安,2025-05,2025,5,99.6,97.0,99.3,93.5
贵阳,2025-05,2025,5,99.6,95.6,99.5,95.3
赣州,2025-05,2025,5,100.1,96.2,99.6,97.4
遵义,2025-05,2025,5,99.8,96.5,99.7,94.0
郑州,2025-05,2025,5,99.5,96.2,99.3,92.1
重庆,2025-05,2025,5,99.5,96.8,99.9,95.9
金华,2025-05,2025,5,99.8,93.0,99.3,90.8
银川,2025-05,2025,5,99.7,96.4,99.5,95.4
锦州,2025-05,2025,5,99.9,95.6,99.6,92.2
长春,2025-05,2025,5,99.3,95.7,99.5,93.9
长沙,2025-05,2025,5,100.3,96.2,99.3,93.1
青岛,2025-05,2025,5,100.0,97.3,99.8,94.8
韶关,2025-05,2025,5,99.9,95.3,99.7,93.6
三亚,2025-06,2025,6,100.1,98.2,99.5,93.2
上海,2025-06,2025,6,100.4,106.0,99.3,98.7
丹东,2025-06,2025,6,100.1,95.5,99.1,92.0
乌鲁木齐,2025-06,2025,6,100.2,99.4,99.6,95.4
九江,2025-06,2025,6,100.1,96.7,99.2,92.7
兰州,2025-06,2025,6,99.8,94.1,99.3,92.9
包头,2025-06,2025,6,99.5,94.1,99.3,90.9
北京,2025-06,2025,6,99.7,95.9,99.0,98.2
北海,2025-06,2025,6,99.6,93.5,99.2,93.9
南京,2025-06,2025,6,99.0,99.4,99.1,94.5
南充,2025-06,2025,6,99.4,97.3,99.3,95.3
南宁,2025-06,2025,6,100.1,97.9,99.5,92.7
南昌,2025-06,2025,6,99.2,94.9,99.1,92.3
厦门,2025-06,2025,6,99.5,97.5,99.4,93.2
合肥,2025-06,2025,6,100.1,97.4,99.1,92.4
吉林,2025-06,2025,6,99.6,95.3,99.6,95.4
呼和浩特,2025-06,2025,6,99.9,94.6,99.6,90.9
哈尔滨,2025-06,2025,6,99.9,96.0,99.7,93.4
唐山,2025-06,2025,6,99.3,92.9,99.1,89.8
大理,2025-06,2025,6,99.7,94.2,99.8,94.4
大连,2025-06,2025,6,99.8,96.8,99.5,93.0
天津,2025-06,2025,6,99.8,98.2,99.5,96.5
太原,2025-06,2025,6,100.1,101.3,99.5,95.0
宁波,2025-06,2025,6,100.3,99.1,99.5,94.4
安庆,2025-06,2025,6,99.7,95.0,99.4,92.3
宜昌,2025-06,2025,6,100.1,97.8,99.4,94.4
岳阳,2025-06,2025,6,99.6,94.2,99.5,94.3
常德,2025-06,2025,6,99.6,94.6,99.1,92.4
平顶山,2025-06,2025,6,99.7,99.1,99.5,95.3
广州,2025-06,2025,6,99.5,94.9,99.3,94.1
徐州,2025-06,2025,6,99.2,95.1,98.7,92.8
惠州,2025-06,2025,6,99.9,96.0,99.4,90.9
成都,2025-06,2025,6,99.7,99.7,99.6,99.5
扬州,2025-06,2025,6,99.7,94.3,99.5,91.3
无锡,2025-06,2025,6,99.7,95.9,99.3,95.1
昆明,2025-06,2025,6,99.2,93.0,99.3,92.2
杭州,2025-06,2025,6,100.2,102.1,99.2,97.6
桂林,2025-06,2025,6,99.7,97.0,99.6,95.4
武汉,2025-06,2025,6,99.9,96.8,99.1,93.9
沈阳,2025-06,2025,6,100.1,99.0,99.6,94.9
泉州,2025-06,2025,6,99.5,94.8,99.4,91.1
泸州,2025-06,2025,6,99.7,94.0,99.5,94.1
洛阳,2025-06,2025,6,99.9,95.1,99.7,95.0
济南,2025-06,2025,6,99.9,95.8,99.5,93.5
济宁,2025-06,2025,6,99.8,96.0,99.0,95.1
海口,2025-06,2025,6,99.1,95.3,99.6,95.6
深圳,2025-06,2025,6,99.4,97.5,99.5,97.2
温州,2025-06,2025,6,99.4,92.7,99.3,91.4
湛江,2025-06,2025,6,100.3,96.9,99.7,93.9
烟台,2025-06,2025,6,99.2,95.4,99.4,93.1
牡丹江,2025-06,2025,6,99.8,94.8,99.9,93.3
石家庄,2025-06,2025,6,99.8,96.9,99.4,94.5
福州,2025-06,2025,6,99.6,94.7,99.5,92.6
秦皇岛,2025-06,2025,6,99.4,94.2,99.3,90.5
蚌埠,2025-06,2025,6,99.8,94.7,99.5,95.1
襄阳,2025-06,2025,6,99.5,95.3,99.2,91.6
西宁,2025-06,2025,6,99.8,95.5,100.1,94.6
西安,2025-06,2025,6,99.5,96.3,99.2,93.4
贵阳,2025-06,2025,6,99.7,95.7,99.4,95.2
赣州,2025-06,2025,6,99.7,96.8,99.3,97.7
遵义,2025-06,2025,6,99.6,96.9,99.3,94.0
郑州,2025-06,2025,6,99.4,96.3,99.1,91.8
重庆,2025-06,2025,6,99.4,97.1,99.3,96.0
金华,2025-06,2025,6,99.8,93.6,99.4,91.6
银川,2025-06,2025,6,99.9,96.9,99.2,95.5
锦州,2025-06,2025,6,99.8,96.0,99.7,92.5
长春,2025-06,2025,6,99.7,95.9,99.4,93.8
长沙,2025-06,2025,6,100.4,96.9,98.8,93.5
青岛,2025-06,2025,6,99.8,97.9,99.5,94.9
韶关,2025-06,2025,6,99.8,95.1,99.6,94.0
三亚,2025-07,2025,7,100.2,99.0,99.5,93.4
上海,2025-07,2025,7,100.3,106.1,99.1,97.8
丹东,2025-07,2025,7,99.8,95.5,99.5,92.9
乌鲁木齐,2025-07,2025,7,100.3,100.3,99.7,95.4
九江,2025-07,2025,7,99.7,97.2,99.9,94.0
兰州,2025-07,2025,7,99.3,94.6,99.7,93.5
包头,2025-07,2025,7,99.4,94.4,99.3,91.5
北京,2025-07,2025,7,100.0,96.4,98.9,97.1
北海,2025-07,2025,7,99.4,93.3,99.4,93.7
南京,2025-07,2025,7,99.5,99.6,99.2,93.9
南充,2025-07,2025,7,99.5,97.5,99.8,96.2
南宁,2025-07,2025,7,100.0,98.4,99.4,93.1
南昌,2025-07,2025,7,99.4,94.9,99.6,93.5
厦门,2025-07,2025,7,99.4,98.2,99.3,94.2
合肥,2025-07,2025,7,99.9,98.3,99.4,92.6
吉林,2025-07,2025,7,99.5,94.8,99.7,95.6
呼和浩特,2025-07,2025,7,99.7,94.4,99.4,91.3
哈尔滨,2025-07,2025,7,99.7,96.4,99.4,93.7
唐山,2025-07,2025,7,99.6,93.5,99.3,90.6
大理,2025-07,2025,7,99.8,94.7,99.6,94.8
大连,2025-07,2025,7,100.0,97.3,99.6,93.8
天津,2025-07,2025,7,99.7,98.1,99.4,96.8
太原,2025-07,2025,7,99.8,101.0,100.2,95.4
宁波,2025-07,2025,7,99.4,99.1,99.2,94.2
安庆,2025-07,2025,7,99.8,95.6,99.5,92.8
宜昌,2025-07,2025,7,100.2,98.4,99.5,94.6
岳阳,2025-07,2025,7,99.8,94.8,99.6,94.3
常德,2025-07,2025,7,100.1,95.9,99.3,92.4
平顶山,2025-07,2025,7,99.9,99.2,99.7,95.4
广州,2025-07,2025,7,99.7,95.4,99.0,94.0
徐州,2025-07,2025,7,100.0,95.7,99.0,92.3
惠州,2025-07,2025,7,99.8,96.3,99.5,91.5
成都,2025-07,2025,7,99.8,100.1,99.6,99.7
扬州,2025-07,2025,7,99.2,94.0,99.6,91.5
无锡,2025-07,2025,7,99.8,96.0,99.3,95.0
昆明,2025-07,2025,7,99.8,93.1,99.6,91.9
杭州,2025-07,2025,7,99.7,102.1,99.3,97.3
桂林,2025-07,2025,7,99.5,96.7,99.4,95.1
武汉,2025-07,2025,7,99.3,96.4,98.9,94.4
沈阳,2025-07,2025,7,99.8,98.9,99.7,95.3
泉州,2025-07,2025,7,99.4,95.5,99.7,92.3
泸州,2025-07,2025,7,99.6,94.0,99.4,94.2
洛阳,2025-07,2025,7,99.7,95.7,99.6,95.3
